model,family,base_depth,learning_rate,n_estimators,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
AdaBoost depth=2 trees=200 lr=0.3,AdaBoost,2,0.3,200,0.8051142551390779,0.011079487368608414,0.8097266915371121,0.0028169310406450676,0.7182369508824479,0.015394752976304778,0.7256482437346946,0.006027310918484272,0.6665536506123004,0.030142581252276115,0.6746605367142957,0.0053966005478687665,0.5331103678929765,0.029355328772564117,0.5464882943143813,0.013683794344801839,0.5919345906523674,0.024445110461383673,0.6037584270270769,0.009123116755793238,0.8478406081556946,0.013206464944543935,0.8571738865737799,0.003509668690185726,0.6654277333165953,0.020470523457827076,0.68194506699969,0.005821428629258269,1.1364185810089111,0.06544322967529297
AdaBoost depth=2 trees=100 lr=0.3,AdaBoost,2,0.3,100,0.8036937688041469,0.01024296138101943,0.8098598768473926,0.0032912428123659104,0.7170570920938935,0.015923166738555393,0.7249376781795891,0.005910943243933226,0.6626062240841984,0.028628171016060806,0.6761463895506892,0.006530369848228957,0.5324414715719065,0.0341333801262156,0.543979933110368,0.012203921264561164,0.589687612407482,0.024517720890212244,0.6028497421962131,0.009112102054300365,0.847335320145578,0.01334658713395444,0.8560866111438713,0.003333059642104121,0.6645736409228549,0.02054255646508276,0.6803451818779881,0.005868447367742164,0.5243070125579834,0.035044622421264646
AdaBoost depth=2 trees=200 lr=0.1,AdaBoost,2,0.1,200,0.8051133095140907,0.008617863761703985,0.8085730291576407,0.001812509472186186,0.7150324068270023,0.013234881337826136,0.7187740231344882,0.0031452015112695525,0.671486887970613,0.028178324202150634,0.6794438785059853,0.003805036023351704,0.523076923076923,0.031202418166396233,0.5274247491638796,0.006332473655104152,0.5871930807514866,0.02032244822997493,0.5938456085544995,0.00498683539925116,0.8482022607921215,0.01265841332062511,0.8557643005248734,0.002843603177381902,0.664116019729738,0.019464575460627388,0.6800166799172181,0.004048175342115894,1.0907098770141601,0.06612815856933593
AdaBoost depth=1 trees=200 lr=0.3,AdaBoost,1,0.3,200,0.8026272614227559,0.0071679466576899595,0.8087504520720898,0.0014705829546211096,0.7079999973039246,0.014940374050295507,0.716918519212503,0.004259184825228377,0.6704743000227635,0.02253656197086499,0.6829667053770716,0.0018982597498548642,0.5063545150501672,0.036977324310595985,0.52123745819398,0.010384063341979933,0.5758701319527056,0.02337939893241301,0.591179794219826,0.006548563479012335,0.8484069031761742,0.011614985062091809,0.8538373849008218,0.0028059228584173287,0.6640579526179065,0.020655352507570973,0.675515261096831,0.004646822607281796,0.7696032524108887,0.06773538589477539
AdaBoost depth=2 trees=50 lr=0.3,AdaBoost,2,0.3,50,0.804935847224827,0.008046426782095445,0.8087061061871813,0.002624102509705637,0.7151253090938176,0.014332838400065755,0.720573794815453,0.004857653182709511,0.6703932027420472,0.02575561412172409,0.6774646141559145,0.006023915897256799,0.5237458193979933,0.034407548226385753,0.5327759197324415,0.010607860553280064,0.5871372297663717,0.021895617935139458,0.596413660132191,0.0075531180302977,0.8469388319675074,0.012515402307912565,0.854490080281256,0.0031192964583239735,0.6626965733111975,0.021320900747145637,0.6769072213473428,0.005143245095815563,0.2655204772949219,0.02377495765686035
AdaBoost depth=2 trees=100 lr=0.1,AdaBoost,2,0.1,100,0.802451217570973,0.009951194248374406,0.8077298765658625,0.002110293517900132,0.7085199579232491,0.014554232387225604,0.7159035710666146,0.004170368792848548,0.6690301707963505,0.029854054836674984,0.6802088650023704,0.00855636827490804,0.5083612040133779,0.031159370431711325,0.5202341137123746,0.011626584144326855,0.57698223379497,0.022915878255172314,0.5894229133756077,0.006308399006995055,0.847092909260982,0.01252432492323843,0.8536393630795504,0.0031050758229116786,0.662261524692257,0.01958334717938339,0.6766489515951234,0.004051525812865236,0.5217150211334228,0.04169106483459473
AdaBoost depth=1 trees=200 lr=1.0,AdaBoost,1,1.0,200,0.8033385290172907,0.00973017369591115,0.8082626079632806,0.0037912161088494148,0.7195924477534277,0.018071541167501527,0.7253460195573442,0.004816122212318866,0.6575700158147759,0.022989650580114873,0.6692564124958773,0.009705507894341773,0.5411371237458195,0.040044493771493696,0.5486622073578595,0.008401241931157483,0.5929015435615737,0.02727851029035975,0.6029521498012815,0.0077076330929393665,0.8489903461157201,0.011935437615970412,0.8560815480401718,0.003980531069584982,0.6605530528744641,0.01550041481646028,0.6782221146437621,0.006763586111188293,0.6816584587097168,0.05885181427001953
AdaBoost depth=2 trees=200 lr=1.0,AdaBoost,2,1.0,200,0.8004996052015677,0.01001224361472141,0.8059994026840631,0.004400411765916642,0.7309048770656993,0.014063820062895794,0.7384940647769263,0.0038923491967865365,0.6356431941925488,0.02240267069355548,0.6464385636124037,0.013183603521620676,0.5826086956521739,0.027203611247709397,0.5946488294314382,0.010191069555312746,0.6076627857976317,0.021166363357235943,0.6193059088863662,0.005950093004229281,0.8430446738140407,0.011489862826253059,0.8607239884263367,0.0033065139597430538,0.6588323359935473,0.020774387340377683,0.6839344289777202,0.008726795699591571,1.0918564796447754,0.06726040840148925
AdaBoost depth=2 trees=100 lr=1.0,AdaBoost,2,1.0,100,0.7978378284667794,0.01172580941289468,0.8033369761599278,0.005575621767817416,0.7295207793275716,0.014974695903859081,0.7373229946662707,0.004859541479153715,0.6289600724330551,0.02777366848492141,0.6391220962591769,0.016819025675375937,0.5839464882943143,0.03010776571217902,0.5966555183946489,0.013446729426738895,0.6050796512077338,0.02242024653917833,0.6168852623689379,0.007299476175418002,0.8427378599385282,0.011782481789120147,0.857504218191479,0.0035031844345696406,0.6588198754586918,0.022516413706958338,0.6775440948345604,0.01126057809021056,0.5143541812896728,0.03817152976989746
AdaBoost depth=1 trees=100 lr=1.0,AdaBoost,1,1.0,100,0.801741368413919,0.011086642068976822,0.8062657142424019,0.0031084834695819753,0.7167960895222869,0.017083082548430703,0.7217437068043742,0.005568662200747293,0.6547158492596402,0.026986531904092146,0.6659709182530371,0.007378097089209275,0.5357859531772575,0.03353833080059312,0.541638795986622,0.012417443622566521,0.5888362173366762,0.02678046663585604,0.5973183079899154,0.008617653128127381,0.8483806501414044,0.011525646129190154,0.854821594480533,0.0034801181066704294,0.6586019975523456,0.016667494050104942,0.6752790649699196,0.004721300309253173,0.36099967956542967,0.035703277587890624
