model,n_estimators,max_samples,base_max_depth,base_min_samples_leaf,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std
Bagging trees=200 samples=0.8 depth=6 leaf=1,200,0.8,6.0,1,0.7999665879171192,0.011583969246130522,0.8250356588164441,0.002912204704853875,0.7053329720592221,0.012536274398819216,0.7400731991859393,0.006825920689070021,0.6629322393791749,0.03373735304217512,0.7191965426268923,0.00707041848701311,0.5036789297658862,0.019340243872643412,0.5590301003344482,0.01633840025160433,0.5720738120328113,0.020717289624816528,0.6289112763811777,0.010015058422873086,0.8470579227977229,0.010199765361400036,0.8936786589478428,0.0014295814348838142,0.6680738683551415,0.01816794222493272,0.7450202794713379,0.002528280256451297
Bagging trees=50 samples=0.8 depth=6 leaf=1,50,0.8,6.0,1,0.8004994475974033,0.013214460978747483,0.8255681539649748,0.0027756391751744313,0.7050541192213554,0.016898408113631972,0.7425720786628269,0.00648078818272165,0.6647392250178845,0.03449098890723652,0.717299226113262,0.006762482334342763,0.5016722408026756,0.02667210974899916,0.5657190635451506,0.015513131964293143,0.5716115628836796,0.02797033390496319,0.6324060879190525,0.00934548746434235,0.8460039663372708,0.01094782907843742,0.8933309199961809,0.0011419206149229169,0.667503692232175,0.019204542735953994,0.7437357161045127,0.0020636704135565836
Bagging trees=100 samples=0.8 depth=6 leaf=1,100,0.8,6.0,1,0.80156406372882,0.011638029169324503,0.824858137464959,0.00243131180895733,0.7074883046493372,0.013235757083141408,0.740433104279161,0.0067144684026957625,0.6666055991492027,0.03321120387766396,0.717806738258612,0.007298198645263867,0.5070234113712375,0.021215721106560125,0.5605351170568562,0.017091249998195644,0.5756092437834256,0.021781817466228308,0.6292879687022792,0.009554070412043012,0.8470806455365857,0.009477429627952278,0.8934905860611035,0.0013943516327361643,0.6673389609577368,0.017769297537790028,0.7439036279039842,0.0025014886168139034
Bagging trees=200 samples=0.8 depth=6 leaf=10,200,0.8,6.0,10,0.8010319920693585,0.012376911527664295,0.8218851913094272,0.002898153962182268,0.7075531901986872,0.014700336159950712,0.7361664126514986,0.006528289237087443,0.6640542971240645,0.03386496753558348,0.7113296520365795,0.007318497690955366,0.5083612040133779,0.023074499412254618,0.5535117056856188,0.01558865710558046,0.5755814609367714,0.024187775024077124,0.6224213784743273,0.009649949321797654,0.8475287503723467,0.01014686825727478,0.8858334885725172,0.0015628076017254345,0.6672268553322317,0.019106258001965727,0.7334349573403967,0.0024692835884921123
Bagging trees=100 samples=0.8 depth=6 leaf=10,100,0.8,6.0,10,0.8010318344651939,0.011019714673339495,0.8218851322472054,0.0023171236597427872,0.7088348033684767,0.01281981319575717,0.7373414804216119,0.006032003027366002,0.6622624351958494,0.030275222375683912,0.7093599673133169,0.006231238681109171,0.5123745819397992,0.020111433282104213,0.5571906354515049,0.015055740328223943,0.5775069805000679,0.021074730537511892,0.6239812595781955,0.008684541131424663,0.847213890274535,0.010356356886649846,0.8856091124518691,0.0015484224225820395,0.6668102893963479,0.018270186983882,0.7326692430569594,0.002601226865314192
Bagging trees=50 samples=0.632 depth=6 leaf=10,50,0.632,6.0,10,0.7994343586534931,0.013412242580880276,0.8221513256811006,0.0028577894908841275,0.7051847665445793,0.01250820609734358,0.7376828780140205,0.007866678587468983,0.6618074699748204,0.04070421385100518,0.7099221405972452,0.00336910855474958,0.5043478260869565,0.01630241820328285,0.5576923076923077,0.018785748053489804,0.5719308270903375,0.02091706045813169,0.624477332831789,0.011384015960941482,0.8470154234662226,0.011094039609474003,0.883804153019599,0.0015955768486500994,0.6665220243944354,0.01785132808255313,0.7289827844768654,0.003041963285240655
Bagging trees=100 samples=0.632 depth=6 leaf=10,100,0.632,6.0,10,0.8015642213329844,0.011823621749032377,0.8217963223529445,0.0023305666208334784,0.707274629435662,0.012180078617928525,0.7358388956846995,0.0073742915413662095,0.6671141514326283,0.03470432648461952,0.7115057460528273,0.005090801225604554,0.5063545150501672,0.017262191171322983,0.552675585284281,0.018606262268496515,0.5753912227863471,0.020330276231078966,0.6218878041361361,0.010597787022700575,0.8476277974444759,0.010616627744512679,0.884039658147851,0.0015988550022214233,0.6664953202835513,0.0186136810776813,0.7302979128835343,0.0033900642723291813
Bagging trees=200 samples=1.0 depth=6 leaf=1,200,1.0,6.0,1,0.8003215124956462,0.010861019434338055,0.8245920326243965,0.0036068268753988455,0.7051468754507502,0.010858172073646234,0.739664465688227,0.007262518994854518,0.6645608971171034,0.03216862025976631,0.7178963750960123,0.009731976246091179,0.5023411371237458,0.014252358362984953,0.558695652173913,0.016941705875470177,0.5719204520584344,0.018266896302239915,0.628179907797082,0.010846781745535716,0.8465690764521232,0.010830162336603685,0.8936275504101756,0.0014527170401440043,0.6663422394550154,0.017422596628497277,0.7447907731189709,0.002265524276187886
Bagging trees=50 samples=0.8 depth=6 leaf=10,50,0.8,6.0,10,0.8010316768610293,0.012989531650231506,0.8210420879361671,0.0034225819371431383,0.707766719374942,0.015360684916871113,0.7368210909414146,0.0064427284693195225,0.6636389871177686,0.03478941007365485,0.7063592716783692,0.00798104421794509,0.5090301003344482,0.02262412645523445,0.5573578595317726,0.014175631740817901,0.5759409487168795,0.02536333404583413,0.6229667343451933,0.009667665059920448,0.8461866000517217,0.011250558947002831,0.8851498328022703,0.0013941238531446436,0.6662979749603694,0.019356861526243063,0.7320258224051457,0.002236300930441877
Bagging trees=50 samples=1.0 depth=6 leaf=10,50,1.0,6.0,10,0.8004996052015679,0.012489491249702115,0.8213082518389516,0.003062633031318938,0.7078318969991333,0.013377834789369132,0.7365215540834854,0.009864478529951273,0.6618687878184273,0.03578153294898066,0.7082593399802436,0.007139490298313661,0.5103678929765886,0.01922422456615372,0.5558528428093645,0.02504679572401503,0.5760032571850912,0.02223062797508649,0.6224539602553154,0.014132120137629127,0.846591111007957,0.012036899249057457,0.8859380709406262,0.00141493718762001,0.6661719299990889,0.018055351045859088,0.7327459363639584,0.0025890437604095583
