model,feature,importance
Best AdaBoost,categorical__Contract_Two year,0.22903027019584016
Best AdaBoost,categorical__Contract_Month-to-month,0.19100226575548812
Best AdaBoost,numeric__tenure,0.18092391414145625
Best AdaBoost,numeric__MonthlyCharges,0.11661953109180682
Best AdaBoost,categorical__OnlineSecurity_No,0.10056172255239239
Best AdaBoost,numeric__TotalCharges,0.08033736811084685
Best AdaBoost,categorical__InternetService_Fiber optic,0.019609061135803213
Best AdaBoost,categorical__StreamingTV_Yes,0.014975450020187216
Best AdaBoost,categorical__PaymentMethod_Credit card (automatic),0.013650719401130083
Best AdaBoost,categorical__PaymentMethod_Electronic check,0.013416866420821396
Best AdaBoost,categorical__TechSupport_No,0.012573727019005105
Best AdaBoost,categorical__PaperlessBilling_No,0.0045940426978178855
Best AdaBoost,categorical__MultipleLines_No,0.0038605630127366178
Best AdaBoost,categorical__StreamingMovies_Yes,0.0036982309555589443
Best AdaBoost,categorical__InternetService_No,0.003215516218641634
Best AdaBoost,categorical__DeviceProtection_No internet service,0.0030717790163663455
Best AdaBoost,categorical__OnlineBackup_No,0.0023671363605690184
Best AdaBoost,categorical__StreamingMovies_No internet service,0.001913371057859869
Best AdaBoost,categorical__Dependents_Yes,0.0015737417608603012
Best AdaBoost,categorical__PaperlessBilling_Yes,0.0011094156472576631
Best AdaBoost,categorical__SeniorCitizen_0,0.0010666517247982772
Best AdaBoost,categorical__Dependents_No,0.000828655702755749
Best AdaBoost,categorical__PhoneService_Yes,0.0
Best AdaBoost,categorical__PhoneService_No,0.0
Best AdaBoost,categorical__Partner_No,0.0
Best AdaBoost,categorical__Partner_Yes,0.0
Best AdaBoost,categorical__gender_Male,0.0
Best AdaBoost,categorical__gender_Female,0.0
Best AdaBoost,categorical__SeniorCitizen_1,0.0
Best AdaBoost,categorical__MultipleLines_No phone service,0.0
Best AdaBoost,categorical__DeviceProtection_Yes,0.0
Best AdaBoost,categorical__DeviceProtection_No,0.0
Best AdaBoost,categorical__OnlineBackup_Yes,0.0
Best AdaBoost,categorical__OnlineBackup_No internet service,0.0
Best AdaBoost,categorical__OnlineSecurity_No internet service,0.0
Best AdaBoost,categorical__OnlineSecurity_Yes,0.0
Best AdaBoost,categorical__MultipleLines_Yes,0.0
Best AdaBoost,categorical__InternetService_DSL,0.0
Best AdaBoost,categorical__StreamingMovies_No,0.0
Best AdaBoost,categorical__StreamingTV_No internet service,0.0
Best AdaBoost,categorical__TechSupport_Yes,0.0
Best AdaBoost,categorical__StreamingTV_No,0.0
Best AdaBoost,categorical__TechSupport_No internet service,0.0
Best AdaBoost,categorical__Contract_One year,0.0
Best AdaBoost,categorical__PaymentMethod_Bank transfer (automatic),0.0
Best AdaBoost,categorical__PaymentMethod_Mailed check,0.0
Best GradientBoostingClassifier,categorical__Contract_Month-to-month,0.37315642778271335
Best GradientBoostingClassifier,numeric__tenure,0.14994736807477882
Best GradientBoostingClassifier,categorical__InternetService_Fiber optic,0.09464044763400159
Best GradientBoostingClassifier,numeric__TotalCharges,0.07263984802312347
Best GradientBoostingClassifier,numeric__MonthlyCharges,0.06847608554115164
Best GradientBoostingClassifier,categorical__OnlineSecurity_No,0.0678909746491585
Best GradientBoostingClassifier,categorical__TechSupport_No,0.048257173437388994
Best GradientBoostingClassifier,categorical__PaymentMethod_Electronic check,0.04392586853258355
Best GradientBoostingClassifier,categorical__MultipleLines_No,0.013653833109573188
Best GradientBoostingClassifier,categorical__PaperlessBilling_No,0.01236394395996452
Best GradientBoostingClassifier,categorical__OnlineBackup_No,0.00933350835542366
Best GradientBoostingClassifier,categorical__PaperlessBilling_Yes,0.009270181279314489
Best GradientBoostingClassifier,categorical__StreamingMovies_Yes,0.006635647446184701
Best GradientBoostingClassifier,categorical__Contract_Two year,0.006356190952067653
Best GradientBoostingClassifier,categorical__Contract_One year,0.003951005171863643
Best GradientBoostingClassifier,categorical__SeniorCitizen_1,0.0033043238810692497
