model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Best XGBoost,806,689,395,3744,0.807596734114306,0.7218483775749236,0.6711074104912573,0.5391304347826087,0.9045663203672385,0.5979228486646885,0.8498126556993958,0.6700812215338766,0.2131700390486333,0.2653532126375577
Best GradientBoostingClassifier,793,702,379,3760,0.8081292154774583,0.7194333855058458,0.6766211604095563,0.5304347826086957,0.9084319884029959,0.5946756655418073,0.8503254385036374,0.6694595882210489,0.20802271920482784,0.2653532126375577
Best CatBoost native categorical,785,710,377,3762,0.8070642527511537,0.7169994044737997,0.6755593803786575,0.5250836120401338,0.9089151969074656,0.5908919834399698,0.8499091357920943,0.6693797626192479,0.20624778132765353,0.2653532126375577
Best LightGBM native categorical,765,730,373,3766,0.8042243521476748,0.710793649767567,0.672231985940246,0.5117056856187291,0.9098816139164049,0.5810862134447399,0.8493603951643596,0.6655367860236401,0.2019879304224352,0.2653532126375577
Best AdaBoost,797,698,400,3739,0.805111821086262,0.7182343334995205,0.6658312447786132,0.5331103678929766,0.9033582991060642,0.5921248142644874,0.8476800739519103,0.6637474078500489,0.2124600638977636,0.2653532126375577
Selected bagged trees,753,742,385,3754,0.7999645012424565,0.7053306463277366,0.6616871704745168,0.5036789297658862,0.9069823628895869,0.5719711355867831,0.8460302966884057,0.661791908057758,0.2019879304224352,0.2653532126375577
Selected random forest,744,751,354,3785,0.80386936457224,0.7060654787925605,0.6775956284153005,0.49765886287625416,0.9144720947088669,0.5738526802930968,0.8465067984527632,0.6601831936488521,0.19488817891373802,0.2653532126375577
Best HistGradientBoostingClassifier,796,699,391,3748,0.8065317713880015,0.7189871044740421,0.6705981465880371,0.5324414715719064,0.9055327373761778,0.5935868754660701,0.8481085780822117,0.6597620414926174,0.21068512602058928,0.2653532126375577
Selected L2 logistic regression,813,682,434,3705,0.8019169329073482,0.7194782317800901,0.6519647153167603,0.5438127090301004,0.8951437545300798,0.5929978118161926,0.845605832762991,0.6584246593526663,0.22133475328363508,0.2653532126375577
Selected single decision tree,769,726,463,3676,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.823687398035329,0.6284711600442233,0.21867234646787362,0.2653532126375577
