threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1464,31,2667,1472,0.5211217607383741,0.6674528366682531,0.35439360929557007,0.9792642140468227,0.3556414592896835,0.5204408105225737,0.7332268370607029,0.2653532126375577
0.1,1405,90,2052,2087,0.6198083067092651,0.7220137027588943,0.40642175296499855,0.939799331103679,0.5042280744141097,0.5674474959612278,0.6135960241391551,0.2653532126375577
0.15,1346,149,1664,2475,0.6782037628682996,0.7491524862208812,0.44717607973421925,0.9003344481605351,0.5979705242812273,0.597558268590455,0.534256301029464,0.2653532126375577
0.2,1293,202,1371,2768,0.7208022719204827,0.766821756664924,0.48536036036036034,0.8648829431438128,0.6687605701860353,0.6217840827121904,0.4728434504792332,0.2653532126375577
0.25,1232,263,1175,2964,0.7447639332623358,0.7700976355912961,0.5118404653095139,0.8240802675585285,0.7161150036240638,0.6314710404920554,0.42722754703585375,0.2653532126375577
0.3,1153,342,979,3160,0.7655307064252751,0.7673534476280361,0.5408067542213884,0.7712374581939799,0.7634694370620922,0.6357871519161842,0.3784167554135605,0.2653532126375577
0.35,1070,425,801,3338,0.7823926162584309,0.761097028752522,0.5718866916087654,0.7157190635451505,0.8064749939598937,0.6357694592988711,0.3320908768193113,0.2653532126375577
0.4,979,516,624,3515,0.7976570820021299,0.7520442224666097,0.6107298814722395,0.6548494983277592,0.8492389466054603,0.632020658489348,0.28452254171104013,0.2653532126375577
0.45,895,600,505,3634,0.80386936457224,0.7383260299896328,0.6392857142857142,0.5986622073578596,0.8779898526214062,0.6183074265975821,0.24849130280440185,0.2653532126375577
0.5,806,689,395,3744,0.807596734114306,0.7218483775749236,0.6711074104912573,0.5391304347826087,0.9045663203672385,0.5979228486646885,0.2131700390486333,0.2653532126375577
0.6,567,928,223,3916,0.7957046503372383,0.6626932328992268,0.7177215189873418,0.37926421404682276,0.9461222517516308,0.4962800875273523,0.1402200922967696,0.2653532126375577
0.7,367,1128,85,4054,0.7847000354987576,0.6124742941964073,0.8119469026548672,0.2454849498327759,0.9794636385600387,0.37699024139702103,0.08022719204827831,0.2653532126375577
