model,family,depth,iterations,l2_leaf_reg,learning_rate,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
CatBoost native iter=100 lr=0.1 depth=4 l2=3,CatBoost native categorical,4,100,3,0.1,0.8070664979251412,0.011878272442410482,0.8140309789228587,0.003740641416196221,0.717001496771225,0.014829403800853826,0.7276696340397047,0.008531366821743996,0.6760598185305701,0.03151353964462651,0.6898081160074934,0.006311828997889421,0.5250836120401338,0.023267594823981372,0.5436454849498328,0.01950437901247269,0.5908936820433341,0.0244117576327328,0.6078801628039483,0.01292363658137455,0.8504961804523159,0.011266993005432307,0.8598269533394219,0.002380305497434592,0.67278530728876,0.022166033634873353,0.692503622411362,0.005041431470152964,4.522576332092285,0.05540575981140137
CatBoost native iter=200 lr=0.1 depth=3 l2=10,CatBoost native categorical,3,200,10,0.1,0.8074209496911745,0.012062227524108212,0.8158503611359557,0.002982807136583807,0.7204478787952316,0.016094064519173865,0.73147159547564,0.008413066869456844,0.6728060987166915,0.030736682617716792,0.6919969920178646,0.00512265265434119,0.5351170568561873,0.02798194068675836,0.5516722408026756,0.020599128930750294,0.5957851955034783,0.025668451354356105,0.6136751915342811,0.01227189829233778,0.8507232676645545,0.012651928210752084,0.8634805569046898,0.0027710207547876624,0.6710072301019968,0.021526725902928295,0.700083424790298,0.005966834629853916,3.3208142280578614,0.02436676025390625
CatBoost native iter=100 lr=0.1 depth=6 l2=3,CatBoost native categorical,6,100,3,0.1,0.8061785560621655,0.01265491263591232,0.8180246679275796,0.0029405366970420674,0.7163973399620842,0.01676062411686691,0.7335390265559628,0.0063356695288941675,0.6732197787519985,0.03235647062335567,0.6984204619596104,0.00977327208007229,0.5250836120401338,0.02877031861887164,0.5535117056856187,0.016281821330619485,0.5896636034067343,0.02705373170391021,0.617365157029145,0.009261697079776606,0.8491592952935451,0.010245186896327776,0.8658765013244449,0.0015455047821262933,0.6708191716921136,0.02164656562551823,0.7027467609133036,0.005661402835528382,2.618993616104126,0.01776118278503418
CatBoost native iter=200 lr=0.1 depth=3 l2=3,CatBoost native categorical,3,200,3,0.1,0.8054679188842886,0.010766252356054622,0.8174034121033061,0.0033214204335188704,0.7167685109170836,0.013504943421140348,0.7329559189265964,0.0084138557898927,0.6697459716327342,0.02802592539414235,0.6965576867339621,0.008250605524560568,0.5277591973244147,0.02232551072679415,0.553010033444816,0.020863507825148557,0.5901018605283199,0.021831337777687396,0.6162534217610729,0.012447268486644293,0.8502553891666725,0.012532097808708216,0.8652978063865353,0.0029799617413045114,0.6702173592048569,0.02179551644658651,0.7038227014099965,0.007309096349265568,9.738180255889892,0.06254363059997559
CatBoost native iter=200 lr=0.03 depth=4 l2=3,CatBoost native categorical,4,200,3,0.03,0.8061782408538363,0.012254783256049031,0.814031106891006,0.0037576832223847113,0.7157563143210586,0.01585283523991426,0.7274560044213734,0.009189887194103652,0.6739952027658371,0.031381336402391824,0.6902065974117858,0.00715062790284911,0.5230769230769231,0.025871678402426358,0.5429765886287625,0.0218007872745582,0.5887973582284411,0.025855209010698873,0.6075365756327439,0.013879373283151236,0.8493636963983813,0.01133881714924429,0.8589100948304222,0.0027963203603124805,0.6699906539979643,0.01883748240463523,0.6894824362627197,0.006544717325569509,11.723870420455933,0.06784605979919434
CatBoost native iter=200 lr=0.03 depth=6 l2=10,CatBoost native categorical,6,200,10,0.03,0.8052909294075187,0.013604349930528427,0.8180246088653575,0.0020103376449164523,0.7168617052587403,0.018833064114239052,0.7354616840018761,0.0059804590501392274,0.668653806158563,0.03313787714084751,0.6953769120677121,0.006710708994819165,0.5284280936454849,0.032563642661239005,0.5595317725752509,0.01589420679224675,0.5900056418572226,0.030199196132820124,0.6199139239922582,0.008494023555708309,0.84909918844026,0.011385170850386414,0.8671110745561499,0.0019733636747736,0.6698576506234005,0.023514324550558845,0.7046665734403421,0.004967022213926954,6.599629497528076,0.029947376251220702
CatBoost native iter=100 lr=0.1 depth=4 l2=10,CatBoost native categorical,4,100,10,0.1,0.8044039331695301,0.01130965523855384,0.812655380401068,0.0027504808868638133,0.7136935919229174,0.012922739550210276,0.7257720596446582,0.008732229402090359,0.6695437326442242,0.03021998382455961,0.6869473557356351,0.007210074866555726,0.5204013377926421,0.017898445699344005,0.5406354515050167,0.022612999530978957,0.5855027054435519,0.021480891478950843,0.604720050830487,0.012891854124309429,0.8497771845044199,0.011042089137659316,0.8580705252633145,0.0023141307167636477,0.6698040871445856,0.020213452326893526,0.6890791507144662,0.005699415731320258,5.24791374206543,0.06528820991516113
CatBoost native iter=200 lr=0.03 depth=6 l2=3,CatBoost native categorical,6,200,3,0.03,0.806356648768087,0.014619626030069282,0.8184684024003674,0.0034689905818596264,0.7180141314795118,0.019504904876393177,0.7356569337863574,0.008074098700954819,0.6717227719256376,0.03678292825493174,0.6969889614756622,0.008665254015105312,0.5297658862876254,0.03294611466494914,0.5591973244147158,0.019675673685729395,0.5919949654149816,0.03153023611687846,0.6202919592189865,0.011796503089482959,0.8489996231550763,0.0114858316630849,0.8685686494757471,0.0018568552876554784,0.66976322291408,0.022520687298915067,0.7073536529914733,0.006268576935558097,6.122386312484741,0.03138866424560547
CatBoost native iter=100 lr=0.1 depth=3 l2=3,CatBoost native categorical,3,100,3,0.1,0.8068890356358775,0.011514292317599997,0.8118566918186421,0.003022478848897393,0.7173079282142949,0.014632108496741668,0.7250147876222194,0.005578377150738896,0.6748207258985484,0.030351366384936077,0.684489828658745,0.00782557550826311,0.5264214046822742,0.02351624860367483,0.5399665551839465,0.01275076758575802,0.5912613383036414,0.024037240463659224,0.6035966048184932,0.008538192224260754,0.8492059618199377,0.011572695520492662,0.8569093719493359,0.0025399500013630295,0.6688428641066093,0.01951096790625588,0.6861065207767463,0.005033921758687449,1.459334373474121,0.03222246170043945
CatBoost native iter=100 lr=0.1 depth=6 l2=10,CatBoost native categorical,6,100,10,0.1,0.8047590153522217,0.01380848326227149,0.8162497694112423,0.004120714967737211,0.7162861493167472,0.01726431240161185,0.7317967807667,0.008489710041391705,0.6680036963511802,0.03664458484867652,0.6933013408596522,0.010172188709504143,0.5277591973244147,0.02926373625983591,0.5518394648829432,0.019870837160552424,0.5891914643060722,0.02784303548619857,0.6142977640296609,0.012609260542731112,0.8487398587268181,0.010896283320209954,0.8620553083748093,0.002236600229019615,0.6686422677976109,0.019535965327706444,0.6963108053528473,0.006785138547023469,2.594577121734619,0.020495223999023437
CatBoost native iter=200 lr=0.1 depth=4 l2=10,CatBoost native categorical,4,200,10,0.1,0.8049364776414851,0.012229311207905507,0.8193113679617765,0.0039784175028869245,0.7181160318981674,0.015911030648003515,0.7368182668359615,0.010098084146370045,0.666040320297912,0.03215996408116278,0.6986189855668327,0.0024294382406981102,0.5331103678929765,0.027949943031138683,0.5610367892976589,0.023213449087135775,0.5918082210718549,0.025317497998633646,0.6220720497286584,0.014973787456002655,0.8494506282256321,0.013024114579252993,0.8692302661418093,0.0025489826161978206,0.668251936286488,0.024185358996766198,0.7120338589175286,0.005871853557148478,12.245700454711914,0.06252036094665528
CatBoost native iter=200 lr=0.03 depth=4 l2=10,CatBoost native categorical,4,200,10,0.03,0.8065331654323634,0.009838251726520817,0.8129217510216288,0.0031579217882209236,0.7159978602147784,0.01401985297095018,0.7261668760404857,0.006239344790161306,0.6750228633531131,0.02498324936547191,0.6872659489050239,0.006262785824288672,0.523076923076923,0.025698157474646866,0.5413043478260869,0.013581231106519678,0.5891374870923844,0.022375805676525598,0.6055314952388529,0.009541706880011765,0.849332942578223,0.011354581542827721,0.8583141989346654,0.0025847925920930064,0.6682513505248084,0.0196196863652609,0.6886116060722554,0.005359726816370886,12.785244369506836,0.06463313102722168
CatBoost native iter=100 lr=0.1 depth=3 l2=10,CatBoost native categorical,3,100,10,0.1,0.8045810802504645,0.009627798067740969,0.811412957345854,0.0029465866336338092,0.7159511170065294,0.01313008972614336,0.7250332312895508,0.005010149671303363,0.6670530204156315,0.025396792889414085,0.6825118951164034,0.006742713378257397,0.5270903010033444,0.023705746015611154,0.5409698996655518,0.010402896999997155,0.588608290074651,0.02124498805025436,0.6035032360958934,0.007801519613642505,0.8489790694870664,0.011610110515502953,0.8562551270515508,0.002209942459963274,0.6679860258396884,0.019129037027147095,0.6849296760595378,0.005371205647966059,1.4646649837493897,0.03893222808837891
