model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,variant_source,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha
CCP-pruned tree alpha=0,723,772,777,3362,0.7250621228257011,0.6479427680736546,0.482,0.4836120401337793,0.8122734960135298,0.48280467445742903,0.6481083356699185,0.37057074790766326,0.26624068157614483,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0
CCP-pruned tree alpha=0.0001119629,724,771,776,3363,0.725417110401136,0.6483980183603071,0.4826666666666667,0.4842809364548495,0.8125151002657647,0.48347245409015027,0.6400717217171517,0.3707832788601536,0.26624068157614483,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0001119629
CCP-pruned tree alpha=0.000162072,725,770,760,3379,0.7284345047923323,0.6506653005387208,0.4882154882154882,0.48494983277591974,0.8163807683015221,0.4865771812080537,0.6242287046860721,0.3770645178674018,0.26357827476038337,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.000162072
CCP-pruned tree alpha=0.000177103,724,771,748,3391,0.730386936457224,0.6517804778915948,0.49184782608695654,0.4842809364548495,0.8192800193283402,0.4880350522413212,0.6137354037497951,0.37951107053477534,0.2612708555200568,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.000177103
CCP-pruned tree alpha=0.0002067577,735,760,720,3419,0.7373091941782037,0.6588418671887688,0.5051546391752577,0.4916387959866221,0.8260449383909156,0.49830508474576274,0.6262698161949188,0.39729731015697767,0.2582534611288605,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0002067577
CCP-pruned tree alpha=0.0002342614,742,753,680,3459,0.745651402200923,0.6660150893572114,0.5218002812939522,0.4963210702341137,0.8357091084803092,0.508741858073363,0.6367710359327743,0.4065888765041268,0.2523961661341853,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0002342614
CCP-pruned tree alpha=0.000257366,741,754,654,3485,0.7500887468938587,0.6688214964757293,0.5311827956989247,0.4956521739130435,0.8419908190384151,0.5128027681660899,0.6473574231896447,0.41318952810262766,0.2476038338658147,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.000257366
CCP-pruned tree alpha=0.0002822344,729,766,634,3505,0.7515086971955982,0.6672241610716563,0.5348495964783566,0.48762541806020065,0.8468229040831119,0.510146955913226,0.6646561260414638,0.42569574996202975,0.24192403265885695,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0002822344
CCP-pruned tree alpha=0.0003126537,744,751,631,3508,0.7547035853745119,0.6726032898580352,0.5410909090909091,0.49765886287625416,0.8475477168398163,0.5184668989547039,0.6854537271294103,0.4355166326997637,0.2440539581114661,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0003126537
CCP-pruned tree alpha=0.0003767821,721,774,556,3583,0.7639332623358183,0.6739711416245341,0.5646045418950666,0.4822742474916388,0.8656680357574293,0.5202020202020202,0.7383166567142952,0.481476366710784,0.22665956691515796,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0003767821
CCP-pruned tree alpha=0.0004642185,726,769,533,3606,0.7689030883919062,0.6784218313279103,0.5766481334392375,0.48561872909698994,0.8712249335588307,0.5272331154684096,0.7839266912903688,0.5304757695164373,0.22346467873624423,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0004642185
CCP-pruned tree alpha=0.0006981023,807,688,495,3644,0.7900248491302805,0.7101026131237167,0.619815668202765,0.539799331103679,0.8804058951437546,0.5770468358956025,0.8219219093038644,0.6154270647984195,0.23109691160809373,0.2653532126375577,ccp_alpha_grid,gini,,2,1,0.0006981023
