feature,importance
Contract_Month-to-month,0.477623593741635
InternetService_Fiber optic,0.15171593658848426
tenure,0.14662233751124
TotalCharges,0.05468644510030595
MonthlyCharges,0.03872027667558357
PaymentMethod_Electronic check,0.027313094662081202
TechSupport_No,0.01986558388258453
StreamingMovies_No,0.013354348995797233
OnlineBackup_No,0.010404482565519596
MultipleLines_No,0.009352956750303284
Contract_Two year,0.008566303382135003
OnlineSecurity_No,0.008010310289151674
PaperlessBilling_Yes,0.005512448357863108
OnlineSecurity_Yes,0.00471290462076046
SeniorCitizen_0,0.004712297482636721
MultipleLines_Yes,0.003182057580815265
PhoneService_Yes,0.002362987371785949
Contract_One year,0.0023623449227068846
PaymentMethod_Mailed check,0.0023180132437840644
StreamingMovies_Yes,0.0023168158009282598
Dependents_Yes,0.002101565782579933
StreamingTV_No,0.0018413839411220248
PaperlessBilling_No,0.0012494798442869682
PhoneService_No,0.0010186675696578326
TechSupport_Yes,7.336333625142359e-05
