model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,variant_source,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha
Tree gini depth=2 split=2 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7875883289793391,0.4960891553274957,0.3029818956336528,0.2653532126375577,prepruned_grid,gini,2.0,2,1,0.0
Tree gini depth=2 split=10 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7875883289793391,0.4960891553274957,0.3029818956336528,0.2653532126375577,prepruned_grid,gini,2.0,10,1,0.0
Tree gini depth=2 split=25 leaf=1,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7875883289793391,0.4960891553274957,0.3029818956336528,0.2653532126375577,prepruned_grid,gini,2.0,25,1,0.0
Tree gini depth=2 split=25 leaf=10,940,555,767,3372,0.7653532126375577,0.7217260401709491,0.5506736965436438,0.6287625418060201,0.8146895385358782,0.5871330418488445,0.7875883289793391,0.4960891553274957,0.3029818956336528,0.2653532126375577,prepruned_grid,gini,2.0,25,10,0.0
Tree gini depth=3 split=2 leaf=1,544,951,235,3904,0.7894923677671282,0.6535512996935101,0.6983311938382541,0.36387959866220737,0.9432230007248128,0.47845206684256814,0.8144229658174424,0.5746984432873391,0.1382676606318779,0.2653532126375577,prepruned_grid,gini,3.0,2,1,0.0
Tree gini depth=3 split=10 leaf=1,544,951,235,3904,0.7894923677671282,0.6535512996935101,0.6983311938382541,0.36387959866220737,0.9432230007248128,0.47845206684256814,0.8144229658174424,0.5746984432873391,0.1382676606318779,0.2653532126375577,prepruned_grid,gini,3.0,10,1,0.0
Tree gini depth=3 split=25 leaf=1,544,951,235,3904,0.7894923677671282,0.6535512996935101,0.6983311938382541,0.36387959866220737,0.9432230007248128,0.47845206684256814,0.8144229658174424,0.5746984432873391,0.1382676606318779,0.2653532126375577,prepruned_grid,gini,3.0,25,1,0.0
Tree gini depth=3 split=25 leaf=10,544,951,235,3904,0.7894923677671282,0.6535512996935101,0.6983311938382541,0.36387959866220737,0.9432230007248128,0.47845206684256814,0.8144229658174424,0.5746984432873391,0.1382676606318779,0.2653532126375577,prepruned_grid,gini,3.0,25,10,0.0
Tree gini depth=4 split=2 leaf=1,685,810,363,3776,0.7917997870074548,0.6852458181859318,0.6536259541984732,0.45819397993311034,0.9122976564387533,0.5387337790011797,0.8252701887018095,0.6121814013638445,0.18601348952786653,0.2653532126375577,prepruned_grid,gini,4.0,2,1,0.0
Tree gini depth=4 split=10 leaf=1,685,810,363,3776,0.7917997870074548,0.6852458181859318,0.6536259541984732,0.45819397993311034,0.9122976564387533,0.5387337790011797,0.8252701887018095,0.6121814013638445,0.18601348952786653,0.2653532126375577,prepruned_grid,gini,4.0,10,1,0.0
Tree gini depth=4 split=25 leaf=1,685,810,363,3776,0.7917997870074548,0.6852458181859318,0.6536259541984732,0.45819397993311034,0.9122976564387533,0.5387337790011797,0.8252701887018095,0.6121814013638445,0.18601348952786653,0.2653532126375577,prepruned_grid,gini,4.0,25,1,0.0
Tree gini depth=4 split=25 leaf=10,685,810,361,3778,0.7921547745828896,0.6854874224381666,0.6548757170172084,0.45819397993311034,0.912780864943223,0.5391578118850846,0.8258700783234121,0.6126594674828512,0.18565850195243166,0.2653532126375577,prepruned_grid,gini,4.0,25,10,0.0
Tree gini depth=5 split=2 leaf=1,767,728,447,3692,0.7914447994320198,0.7025231887559482,0.6317957166392092,0.5130434782608696,0.8920028992510268,0.5662606127722407,0.8282433754780573,0.6190059653405473,0.2154774582889599,0.2653532126375577,prepruned_grid,gini,5.0,2,1,0.0
Tree gini depth=5 split=10 leaf=1,767,728,447,3692,0.7914447994320198,0.7025231887559482,0.6317957166392092,0.5130434782608696,0.8920028992510268,0.5662606127722407,0.8284390021986796,0.6227591502793683,0.2154774582889599,0.2653532126375577,prepruned_grid,gini,5.0,10,1,0.0
