threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1431,64,2442,1697,0.5552005679801207,0.6835965257470137,0.3694810224632068,0.9571906354515051,0.41000241604252236,0.5331594634873323,0.6874334398296059,0.2653532126375577
0.1,1365,130,1993,2146,0.6231806886758964,0.7157631017784174,0.4064919594997022,0.9130434782608695,0.5184827252959652,0.5625386358953225,0.5960241391551295,0.2653532126375577
0.15,1285,210,1599,2540,0.6789137380191693,0.7366032866258714,0.4455617198335645,0.8595317725752508,0.6136748006764919,0.5868919844713405,0.5118920837770679,0.2653532126375577
0.2,1253,242,1456,2683,0.6986155484558041,0.7431756495235387,0.4625322997416021,0.8381270903010033,0.6482242087460739,0.5960989533777354,0.48083067092651754,0.2653532126375577
0.25,1188,307,1236,2903,0.7261270855520057,0.7480129868345884,0.4900990099009901,0.7946488294314381,0.7013771442377386,0.6062771115080378,0.43024494142705005,0.2653532126375577
0.3,1126,369,1022,3117,0.753106141285055,0.7531288558705389,0.5242085661080075,0.7531772575250836,0.7530804542159942,0.6181718363985726,0.3812566560170394,0.2653532126375577
0.35,1065,430,878,3261,0.7678381256656017,0.7501230242388052,0.5481214616572311,0.7123745819397993,0.787871466537811,0.6195462478184991,0.34487042953496627,0.2653532126375577
0.4,985,510,750,3389,0.7763578274760383,0.7388298435390255,0.5677233429394812,0.6588628762541806,0.8187968108238705,0.6099071207430341,0.30795172168974083,0.2653532126375577
0.45,857,638,588,3551,0.7823926162584309,0.7155904234215525,0.5930795847750865,0.5732441471571906,0.8579366996859145,0.5829931972789115,0.2564785232516862,0.2653532126375577
0.5,769,726,469,3670,0.7878949236776713,0.7005344383024352,0.6211631663974152,0.51438127090301,0.8866876057018603,0.5627515550676911,0.2197373091941782,0.2653532126375577
0.55,661,834,352,3787,0.7894923677671282,0.6785478857203806,0.6525172754195459,0.44214046822742475,0.9149553032133365,0.5271132376395534,0.17980120695775648,0.2653532126375577
0.6,541,954,240,3899,0.7880724174653887,0.6519439445813175,0.6927016645326505,0.36187290969899666,0.9420149794636385,0.47539543057996486,0.13862264820731274,0.2653532126375577
0.65,377,1118,127,4012,0.7790202342917998,0.6107450865048268,0.748015873015873,0.25217391304347825,0.9693162599661754,0.37718859429714857,0.08945686900958466,0.2653532126375577
0.7,338,1157,110,4029,0.7751153709620163,0.5997552443879534,0.7544642857142857,0.22608695652173913,0.9734235322541677,0.34791559444158515,0.0795172168974086,0.2653532126375577
0.75,316,1179,100,4039,0.7729854455094072,0.593605406117355,0.7596153846153846,0.21137123745819397,0.9758395747765161,0.33071690214547356,0.07383741569045084,0.2653532126375577
0.8,210,1285,49,4090,0.7632232871849485,0.564314809532621,0.8108108108108109,0.14046822742474915,0.9881613916404929,0.2394526795895097,0.04597089101881434,0.2653532126375577
0.85,118,1377,19,4120,0.7522186723464679,0.5371696425469128,0.8613138686131386,0.07892976588628763,0.9954095192075381,0.14460784313725492,0.024316648917287895,0.2653532126375577
0.9,81,1414,7,4132,0.7477813276535321,0.5262446861205226,0.9204545454545454,0.05418060200668896,0.9983087702343562,0.10233733417561591,0.01561945331913383,0.2653532126375577
0.95,33,1462,1,4138,0.7403265885694,0.5109159871715414,0.9705882352941176,0.022073578595317726,0.9997583957477651,0.04316546762589928,0.006034788782392616,0.2653532126375577
