model,family,learning_rate,max_depth,min_samples_leaf,n_estimators,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
GradientBoosting trees=200 lr=0.03 depth=3 leaf=10 subsample=0.8,GradientBoostingClassifier,0.03,3,10,200,0.8,0.808132059681545,0.010650872256083594,0.8244588473141159,0.0026760487621016573,0.7194355361617861,0.014674350785926694,0.7413898426031894,0.004915939403850603,0.6769397019754088,0.027762767840280582,0.7142509846247863,0.007913960550388769,0.5304347826086956,0.025958003895561528,0.56438127090301,0.011525124374657374,0.5945427918579191,0.024001101866489627,0.6304361443557834,0.007293577618171336,0.8508382010682671,0.011479120084611922,0.8754744489307701,0.002262132178811882,0.672410293972305,0.020201283261717624,0.7264273418624703,0.005194506804148851,1.052771806716919,0.023394441604614256
GradientBoosting trees=200 lr=0.03 depth=3 leaf=25 subsample=0.8,GradientBoostingClassifier,0.03,3,25,200,0.8,0.8068896660525358,0.011600731462278148,0.8233051554035338,0.0033340892371861537,0.7183761582452503,0.016534065574149385,0.7396432252726489,0.005571147095525012,0.6729704447253037,0.028329363551436792,0.7118673517415198,0.00778254894853273,0.5297658862876253,0.028971783047100602,0.5613712374581941,0.011398256313011324,0.5926204474809701,0.02691253054039874,0.6276645715836627,0.008575182556514037,0.8507076563131312,0.011407379605875678,0.874146738364616,0.0024835201561000087,0.6723128231962331,0.0179170035288691,0.7228768033104985,0.005342347925580827,1.1669508934020996,0.025383615493774415
GradientBoosting trees=200 lr=0.03 depth=3 leaf=25 subsample=1.0,GradientBoostingClassifier,0.03,3,25,200,1.0,0.8068888780317132,0.009223758241919509,0.8224176766142541,0.0029922152550838055,0.7166669025732691,0.012752784084125742,0.7373834505849167,0.005283376109780768,0.67568057288155,0.02483745640245208,0.7116500466475617,0.007368547622594258,0.5244147157190635,0.023497214809699376,0.5561872909698996,0.01138352670576421,0.5902402928575285,0.020722715899682092,0.6243157684245819,0.008116642558022916,0.8502193247616499,0.011586161629778961,0.873909102645241,0.0022712609988020443,0.6713867643585306,0.02075777901282896,0.7206190422549403,0.005203434849564192,1.3885011196136474,0.02327876091003418
GradientBoosting trees=200 lr=0.03 depth=3 leaf=10 subsample=1.0,GradientBoostingClassifier,0.03,3,10,200,1.0,0.8058241042961318,0.009369131258281656,0.8228613520248202,0.00234727152508245,0.7161559401057851,0.012007001277038147,0.7385934114194985,0.004907921654337295,0.6721020592321806,0.02631113719947059,0.7116962428265036,0.007114727162715548,0.5250836120401338,0.021467299713553448,0.5590301003344481,0.012019212592686557,0.5892831725659804,0.01960599654390635,0.626085515685026,0.0072115789315181445,0.8498535601217305,0.011249864730396146,0.8749724696228631,0.0021933766517418887,0.6709349112452887,0.02184251006979695,0.7240176947252435,0.004472624735304902,1.305927038192749,0.023356056213378905
GradientBoosting trees=100 lr=0.1 depth=2 leaf=25 subsample=0.8,GradientBoostingClassifier,0.1,2,25,100,0.8,0.8040485357785094,0.010489803325501834,0.8183796515683284,0.002825382980478238,0.7158023273422043,0.01604910742920959,0.7331930568027636,0.003624640796534692,0.6649048260300352,0.02558538698203914,0.7003651278554126,0.008456547304287118,0.5277591973244147,0.03089982464869857,0.5516722408026756,0.007141858362562747,0.5880694914416119,0.02549005794547127,0.6171470069425855,0.005810686979572028,0.8496170376222288,0.011318584932405402,0.8652672446738696,0.002704098293509668,0.6707164057453081,0.016327533742696992,0.7032817150778664,0.00557380615132803,0.40688457489013674,0.019781112670898438
GradientBoosting trees=100 lr=0.1 depth=2 leaf=10 subsample=0.8,GradientBoostingClassifier,0.1,2,10,100,0.8,0.8042264708802666,0.010530459435073075,0.8184241155776807,0.0032355370167534096,0.7167776551063444,0.01682789480878372,0.7332232773966848,0.004688087288892664,0.6642429865300823,0.024796118635151455,0.7004646430481343,0.008203835297481902,0.5304347826086956,0.03308164018428958,0.5516722408026755,0.008839180793580266,0.5894357034992666,0.02667369464151497,0.6171923363069718,0.007456673445131773,0.8493582886180426,0.01126467436939882,0.8656842889218312,0.002790876517682089,0.6706822965715795,0.015275607073962322,0.704866683155187,0.005234215257511491,0.4254566192626953,0.015502214431762695
GradientBoosting trees=200 lr=0.1 depth=2 leaf=10 subsample=0.8,GradientBoostingClassifier,0.1,2,10,200,0.8,0.8019199339323343,0.013526010161121845,0.8247693571018088,0.002635027305616248,0.7134986432000259,0.019681814284002497,0.7425091598941447,0.0035012770375893337,0.6593266927194972,0.03308043352923597,0.7137660160211159,0.008326639069219556,0.5250836120401338,0.035834368524358166,0.5672240802675586,0.007637583442588114,0.5841786962134105,0.03162308650733686,0.6320575687239451,0.005452233339956846,0.8477370705549857,0.011882909193478107,0.876959521479678,0.0027291520784850365,0.6706073300231592,0.017241398501444693,0.7316913702333201,0.004622636510204618,1.07579345703125,0.028627300262451173
GradientBoosting trees=200 lr=0.1 depth=2 leaf=25 subsample=0.8,GradientBoostingClassifier,0.1,2,25,200,0.8,0.8051134671182553,0.0091809302862792,0.8228169766088008,0.0021273941758492413,0.7171684287766513,0.014024227963313242,0.7396314574651278,0.0037044084390689064,0.6677651257315718,0.024718068551463947,0.7097344114863852,0.006740649807055757,0.5297658862876254,0.028739198741057955,0.5623745819397993,0.008905369201133335,0.5903367748685084,0.022204098725889007,0.627454802319528,0.005526875851266891,0.8484182095984154,0.011532483361254765,0.8756260778785041,0.002505769594695416,0.6700646188111833,0.017590039318870536,0.728233349823729,0.0029951131123841053,1.1433685302734375,0.03880128860473633
GradientBoosting trees=100 lr=0.1 depth=2 leaf=25 subsample=1.0,GradientBoostingClassifier,0.1,2,25,100,1.0,0.806001093772902,0.010385426342592395,0.8168709563295902,0.002328431706112167,0.7173447970461797,0.015069319606505333,0.7302434463076526,0.004756846164655663,0.6708535614434754,0.02583039637918254,0.6983385450030519,0.006216065389314654,0.5284280936454849,0.027660298499177685,0.5456521739130434,0.01125009243582215,0.5908978034255788,0.02410859682915813,0.612542342382914,0.007116222280834943,0.8499372532394958,0.012204394705590456,0.8655701740769963,0.0029183803308592032,0.6693932910815075,0.02176312664946353,0.7039877720766456,0.005994316521985627,0.550040864944458,0.03120288848876953
GradientBoosting trees=100 lr=0.1 depth=3 leaf=10 subsample=1.0,GradientBoostingClassifier,0.1,3,10,100,1.0,0.8031620123530144,0.009529487716450954,0.8297836019253497,0.0023348583403757523,0.7147715502928162,0.012173835057459143,0.7490196692421162,0.005120169157303281,0.6631364401481152,0.027162007113811604,0.7254211937445224,0.004367510251756496,0.5264214046822742,0.022245202874001176,0.5769230769230769,0.011585624130895545,0.586595659043631,0.019731151211748416,0.6426384133698448,0.007444001079537075,0.8487598497356018,0.010916020046475272,0.8855125711428877,0.0027653445452374887,0.669117990982304,0.020469585047909203,0.7474155938310066,0.004463047127925973,0.8014652729034424,0.02632484436035156
