model,family,l2_regularization,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
HistGradientBoosting iter=200 lr=0.03 leaves=15 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,200,15,10,0.8065337958490216,0.010017529677235851,0.8349754271625975,0.003183243951672127,0.7189890211313902,0.014304356017670227,0.7576272831202052,0.005632737580193674,0.6709429230728057,0.025501313422638984,0.7342374587460834,0.009064808367549767,0.5324414715719064,0.026705638498564704,0.592809364548495,0.012768300447371957,0.5934095007425921,0.022916112126955053,0.6558786196855577,0.008209481804487394,0.8488205177828547,0.010504963109145673,0.8988835863394871,0.0016692207455061873,0.6646374952120736,0.022567533275765606,0.7643394035226753,0.004691982224446855,0.6011717319488525,0.07111129760742188
HistGradientBoosting iter=100 lr=0.03 leaves=15 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,100,15,10,0.8051129943057616,0.008346073791966144,0.8257012703693298,0.0033635080330448354,0.7116128732210958,0.011541693818000309,0.739084127449901,0.006637569530548187,0.6752025062090454,0.02244969195574046,0.7240012106705596,0.005806694269635748,0.5123745819397993,0.021088806381852086,0.554515050167224,0.014084596447655898,0.582407927612013,0.01887726282745103,0.6279421258336195,0.010130145176553055,0.8487299975377798,0.01087404509164037,0.8801465446734603,0.0020041673373224996,0.6645667642558442,0.024379430592437298,0.7297167503407167,0.005008538331618925,0.3528564453125,0.057254457473754884
HistGradientBoosting iter=200 lr=0.03 leaves=15 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,200,15,25,0.8044042483778592,0.009893574804619535,0.8343985762854548,0.0036692190692931767,0.7145488769273006,0.013543712755732176,0.7570210502338914,0.005767519887457735,0.6685636485632126,0.028220813330598706,0.7326034850464995,0.009402467714575785,0.523076923076923,0.026385395215138472,0.5921404682274248,0.01177000960185135,0.5864876600007003,0.02187596257829546,0.6548510144138093,0.008713008210012306,0.8483359573180778,0.011048976971475938,0.8971773430607287,0.001698777539202361,0.6639239348919738,0.02375659117683357,0.7603778624072954,0.005798793325088796,0.6717905044555664,0.0765235424041748
HistGradientBoosting iter=100 lr=0.03 leaves=15 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,100,15,25,0.8051129943057616,0.008383722623223965,0.8257012900567371,0.003270406351746994,0.7116128732210958,0.011741789423214776,0.7398318903880077,0.005665750638775538,0.6752545823549931,0.022579950824477907,0.7226961766707644,0.007739388008180777,0.5123745819397993,0.02202284633197902,0.5568561872909699,0.011800855360787517,0.5823872650732388,0.019112317919379184,0.6289608908999554,0.008701976981871704,0.8484483138206826,0.01018149543431674,0.879364046577168,0.00213412381001198,0.6636603343258052,0.022313175558834736,0.7291830751349869,0.005277988038247902,0.3813651084899902,0.06553912162780762
HistGradientBoosting iter=200 lr=0.03 leaves=15 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,200,15,10,0.8026289950685659,0.010723283748774447,0.8374159175444132,0.003170655510242144,0.713767767698949,0.015524527255987365,0.7607304012132121,0.006588042889403324,0.6619432518291111,0.027129435466774734,0.7398761966860711,0.005751263291986954,0.5244147157190635,0.029110441668212615,0.5973244147157191,0.01452637383309965,0.5848496287536745,0.02489313194461777,0.6609044231036705,0.0094432066781169,0.847268402771245,0.010750308875735162,0.9047620333971969,0.0021715993367050304,0.6636497467386636,0.02289926112401435,0.7718147551950432,0.004738627445139522,0.6118918418884277,0.08031721115112304
HistGradientBoosting iter=100 lr=0.03 leaves=15 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,100,15,10,0.8026282070477431,0.007424161977365924,0.8264111982760131,0.0029044392544022683,0.7071445662621205,0.00945340287787988,0.740101434628735,0.006294894997151444,0.671196362681469,0.022911336628035198,0.7256158309170253,0.0059193345687526015,0.5036789297658864,0.018633295354092454,0.5561872909698996,0.01429154556469666,0.5751818734321386,0.0154540484288217,0.6295914325794899,0.009438827722632954,0.8481577858038772,0.010881623526991029,0.882964081278488,0.0021000624830684288,0.6635971329408072,0.024540651180831274,0.7346859374342486,0.00493256685590376,0.7089792251586914,0.037954521179199216
HistGradientBoosting iter=200 lr=0.03 leaves=15 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,200,15,25,0.8049369504539788,0.01185660903772617,0.8344428729518452,0.002556396143457135,0.7155523674463267,0.015450869254978267,0.7576387226412505,0.004510849192105254,0.6694223546158713,0.0325268843772546,0.73169050260755,0.006998590273164035,0.5250836120401338,0.027252908076874045,0.5939799331103679,0.010111181577144468,0.5881377728509469,0.02506136291396767,0.655617683932686,0.006586019611607698,0.8475193771143557,0.010698998190372972,0.9003276041850498,0.0015078988759788122,0.6632154938755257,0.023175712895092786,0.7642596136314396,0.004550704664561692,0.6771650314331055,0.0896836757659912
HistGradientBoosting iter=100 lr=0.03 leaves=15 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,100,15,25,0.8033383714131264,0.009062864099768005,0.8255238179237698,0.003473609758010812,0.7089097093316115,0.013567074559755542,0.7392303573294473,0.006170158728433465,0.6715313215471341,0.02478965376399708,0.7229714814136348,0.008525744294593901,0.5076923076923077,0.026872654751305222,0.5553511705685619,0.013256134570305302,0.5778328011825906,0.02205369542806043,0.6280750816676155,0.00947570277444201,0.8477888371574526,0.010788997574385477,0.8807308168902555,0.0020754482236407905,0.6623563067156804,0.024373335806710326,0.7318742682828461,0.0056285053568956855,0.29137387275695803,0.06518869400024414
HistGradientBoosting iter=100 lr=0.03 leaves=31 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,100,31,10,0.7997884952111974,0.00936982664253454,0.8483759070234628,0.0026513027446717114,0.7045713195087571,0.01364724176075587,0.7703796056488171,0.004421850440838756,0.6626639689463122,0.026978562179253793,0.7750387035717646,0.010167289966471588,0.5016722408026756,0.027498066610159803,0.604180602006689,0.010947750704570476,0.5705385183403602,0.022167326315942697,0.6789085373061565,0.006334577086141237,0.8445381179255982,0.009523157668302707,0.9128700452003388,0.001232757879108828,0.6597131501219065,0.023061762268467855,0.7950059815021755,0.0035448665747085523,0.6366826057434082,0.06998414993286133
HistGradientBoosting iter=100 lr=0.1 leaves=15 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,100,15,25,0.8020964505966106,0.010462593267130307,0.8453586740452443,0.002579131382547986,0.7149013213915163,0.012970402242438854,0.7730797541970443,0.004453230814786476,0.6589404444167991,0.029155663670636805,0.7541912940171491,0.006807650453392264,0.5290969899665552,0.023497214809699376,0.6190635451505015,0.009745018250390265,0.5865282208999506,0.020786452688450262,0.6799218563440356,0.00638436487743582,0.8456278545309435,0.00969129931600448,0.9143239047932525,0.0014337676024826379,0.659618266927369,0.022343183720348013,0.7927978337782194,0.005484490360345415,0.35706229209899903,0.07010631561279297
