model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,n_neighbors,weights,p,distance
kNN k=1 uniform Manhattan,737,758,842,3297,0.7160099396521121,0.644772904123514,0.4667511082963901,0.49297658862876254,0.7965692196182653,0.47950553025374104,0.644772904123514,0.3646376601964604,0.2802626908058218,0.2653532126375577,1,uniform,1,Manhattan
kNN k=1 uniform Euclidean,741,754,845,3294,0.7161874334398296,0.6457482903873022,0.4672131147540984,0.4956521739130435,0.7958444068615608,0.4810126582278481,0.6457482903873022,0.36540551194749527,0.28150514731984383,0.2653532126375577,1,uniform,2,Euclidean
kNN k=1 distance Manhattan,737,758,842,3297,0.7160099396521121,0.644772904123514,0.4667511082963901,0.49297658862876254,0.7965692196182653,0.47950553025374104,0.644772904123514,0.3646376601964604,0.2802626908058218,0.2653532126375577,1,distance,1,Manhattan
kNN k=1 distance Euclidean,741,754,845,3294,0.7161874334398296,0.6457482903873022,0.4672131147540984,0.4956521739130435,0.7958444068615608,0.4810126582278481,0.6457482903873022,0.36540551194749527,0.28150514731984383,0.2653532126375577,1,distance,2,Euclidean
kNN k=3 uniform Manhattan,754,741,672,3467,0.7492012779552716,0.6709948842925723,0.5287517531556802,0.5043478260869565,0.837641942498188,0.516261554262239,0.740892610546066,0.4549395247319492,0.25310614128505504,0.2653532126375577,3,uniform,1,Manhattan
kNN k=3 uniform Euclidean,756,739,668,3471,0.7502662406815761,0.6721469891181122,0.5308988764044944,0.505685618729097,0.8386083595071273,0.5179856115107914,0.7429711343521653,0.45744177007182363,0.25275115370962015,0.2653532126375577,3,uniform,2,Euclidean
kNN k=3 distance Manhattan,733,762,698,3441,0.7408590699325523,0.6608306176422819,0.5122292103424179,0.4903010033444816,0.8313602319400821,0.5010252904989747,0.7334406142404293,0.46724815917897705,0.2539936102236422,0.2653532126375577,3,distance,1,Manhattan
kNN k=3 distance Euclidean,738,757,687,3452,0.7436989705360313,0.663831681832249,0.5178947368421053,0.4936454849498328,0.8340178787146654,0.5054794520547945,0.7353240769545906,0.470749020410835,0.25292864749733757,0.2653532126375577,3,distance,2,Euclidean
kNN k=5 uniform Manhattan,807,688,626,3513,0.7667731629392971,0.6942775346023348,0.5631542219120725,0.539799331103679,0.8487557381009906,0.5512295081967213,0.7810795589065913,0.5046105050308562,0.25434859779907704,0.2653532126375577,5,uniform,1,Manhattan
kNN k=5 uniform Euclidean,796,699,623,3516,0.7653532126375577,0.6909610112148008,0.5609584214235377,0.5324414715719064,0.8494805508576951,0.546328071379547,0.7816880137625539,0.5048596111924988,0.251863684771033,0.2653532126375577,5,uniform,2,Euclidean
kNN k=5 distance Manhattan,763,732,644,3495,0.7557685481008165,0.677387377268676,0.5422885572139303,0.5103678929765886,0.8444068615607635,0.5258442453480359,0.7651502430991279,0.5056277012771017,0.24973375931842384,0.2653532126375577,5,distance,1,Manhattan
kNN k=5 distance Euclidean,767,728,633,3506,0.758430954916578,0.6800539932981082,0.5478571428571428,0.5130434782608696,0.8470645083353467,0.5298791018998273,0.7665461338875417,0.5087828027578781,0.24849130280440185,0.2653532126375577,5,distance,2,Euclidean
kNN k=7 uniform Manhattan,812,683,604,3535,0.7715654952076677,0.6986074221795936,0.5734463276836158,0.5431438127090301,0.8540710316501571,0.557883888698042,0.79498053025265,0.5283405355034603,0.25133120340788073,0.2653532126375577,7,uniform,1,Manhattan
kNN k=7 uniform Euclidean,813,682,586,3553,0.7749378771742989,0.7011163086102423,0.5811293781272338,0.5438127090301004,0.8584199081903842,0.5618521078092605,0.79686867960448,0.5330054720562609,0.24831380901668443,0.2653532126375577,7,uniform,2,Euclidean
kNN k=7 distance Manhattan,770,725,611,3528,0.7628682996095136,0.6837149845542967,0.55756698044895,0.5150501672240803,0.8523798018845131,0.5354659248956884,0.7780380118636576,0.5275676519125029,0.24511892083777068,0.2653532126375577,7,distance,1,Manhattan
kNN k=7 distance Euclidean,779,716,598,3541,0.7667731629392971,0.6882954456386392,0.5657225853304285,0.5210702341137123,0.8555206571635661,0.5424791086350975,0.7805339696386683,0.5338944876673416,0.24440894568690097,0.2653532126375577,7,distance,2,Euclidean
kNN k=11 uniform Manhattan,832,663,599,3540,0.7760028399006035,0.705900396020883,0.5814116002795248,0.5565217391304348,0.8552790529113312,0.5686944634313056,0.8117729146280466,0.561657979206115,0.2539936102236422,0.2653532126375577,11,uniform,1,Manhattan
kNN k=11 uniform Euclidean,828,667,579,3560,0.7788427405040823,0.7069786459010909,0.5884861407249466,0.5538461538461539,0.860111137956028,0.5706409372846313,0.8133512610691512,0.5662973300073287,0.24973375931842384,0.2653532126375577,11,uniform,2,Euclidean
kNN k=11 distance Manhattan,782,713,601,3538,0.7667731629392971,0.6889363837418923,0.5654374548083876,0.5230769230769231,0.8547958444068615,0.5434329395413482,0.7928135259595285,0.549759831885856,0.24547390841320554,0.2653532126375577,11,distance,1,Manhattan
kNN k=11 distance Euclidean,793,702,577,3562,0.7729854455094072,0.6955145645345967,0.5788321167883211,0.5304347826086957,0.8605943464604977,0.5535776614310646,0.7966797596239701,0.5569940626717637,0.24316648917287895,0.2653532126375577,11,distance,2,Euclidean
kNN k=15 uniform Manhattan,850,645,564,3575,0.7854100106496272,0.7161485373246248,0.6011315417256011,0.568561872909699,0.8637352017395507,0.5843932622894465,0.8224479439801351,0.5823077745724752,0.25097621583244584,0.2653532126375577,15,uniform,1,Manhattan
kNN k=15 uniform Euclidean,847,648,557,3582,0.786119985800497,0.7159908077258414,0.6032763532763533,0.5665551839464883,0.8654264315051945,0.5843394273887548,0.8239592230201178,0.5890933147433125,0.24920127795527156,0.2653532126375577,15,uniform,2,Euclidean
kNN k=15 distance Manhattan,791,704,571,3568,0.7736954206602769,0.695570480970231,0.5807635829662261,0.5290969899665552,0.8620439719739067,0.5537276863843192,0.8024165273469349,0.5615534051355154,0.2417465388711395,0.2653532126375577,15,distance,1,Manhattan
kNN k=15 distance Euclidean,800,695,565,3574,0.7763578274760383,0.6993053271717515,0.5860805860805861,0.5351170568561873,0.8634935974873158,0.5594405594405595,0.8061689080376645,0.5708602069128085,0.2422790202342918,0.2653532126375577,15,distance,2,Euclidean
kNN k=21 uniform Manhattan,865,630,559,3580,0.7889598864039759,0.7217692703632386,0.6074438202247191,0.5785953177257525,0.8649432230007248,0.592668722165125,0.8290377605629137,0.5999421302246356,0.25275115370962015,0.2653532126375577,21,uniform,1,Manhattan
kNN k=21 uniform Euclidean,853,642,539,3600,0.7903798367057153,0.7201719349591656,0.6127873563218391,0.5705685618729097,0.8697753080454216,0.5909248354693454,0.8293993589002885,0.5995384114418119,0.2470713525026624,0.2653532126375577,21,uniform,2,Euclidean
kNN k=21 distance Manhattan,823,672,577,3562,0.7783102591409301,0.7055480093506502,0.5878571428571429,0.5505016722408027,0.8605943464604977,0.568566493955095,0.80930645034871,0.5728785041034758,0.24849130280440185,0.2653532126375577,21,distance,1,Manhattan
kNN k=21 distance Euclidean,819,676,561,3578,0.7804401845935393,0.7061430507263884,0.5934782608695652,0.5478260869565217,0.8644600144962551,0.5697391304347826,0.8124160344419387,0.578426481655411,0.24494142705005326,0.2653532126375577,21,distance,2,Euclidean
