model,family,colsample_bytree,learning_rate,min_child_samples,n_estimators,num_leaves,reg_lambda,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
LightGBM native trees=100 lr=0.03 leaves=15 child=25 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,25,100,15,1.0,0.8,0.8042263132761021,0.010725626360267696,0.8251687752207992,0.003643540889690304,0.7107954793105415,0.014854812152553116,0.740110460402422,0.006674656386879732,0.672441538339221,0.027520560848092634,0.7196452891377773,0.007366759636822475,0.5117056856187291,0.025732955266449944,0.5588628762541806,0.013906771161399187,0.5809508560253955,0.024378116819810187,0.6290628268376062,0.010135666908347279,0.8500536978130393,0.010466966537539164,0.8800037302511529,0.0017578462481334853,0.6690803257948834,0.020903054006999516,0.7314530068320384,0.0034670950482491468,0.13520421981811523,0.07793183326721191
LightGBM native trees=100 lr=0.03 leaves=15 child=25 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,25,100,15,1.0,0.8,0.8033391594339487,0.010690972619856067,0.8245919341873599,0.002424433820280534,0.7082691218028476,0.011504131252359504,0.7385961443342636,0.006262286303566148,0.6729678292721771,0.03209014415857096,0.7196854895660112,0.005096438764963225,0.505685618729097,0.016302418203282855,0.5553511705685619,0.015109507689734496,0.5772174420353364,0.01944219861146745,0.6267914485131808,0.009072586745195834,0.8496036856992596,0.011219904353025683,0.8790035919990558,0.0020007174203652417,0.6688585120583694,0.021644284919154298,0.7289091896919835,0.003798241296434305,0.12072968482971191,0.06930336952209473
LightGBM native trees=200 lr=0.03 leaves=15 child=10 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,10,200,15,1.0,0.8,0.8038715463017395,0.011883877260954747,0.8350641681509332,0.0037256624990650122,0.7144002333003961,0.015632518602399142,0.7584888239779545,0.006760587201604854,0.6665708498696971,0.032258756623983295,0.732925212917334,0.006283330589683278,0.5237458193979933,0.027789402110824046,0.5953177257525084,0.013585348502735725,0.5861811517145343,0.025270543776155962,0.6569375140815865,0.010030228460227065,0.8481472842969175,0.010391131241076627,0.8985160944936545,0.0016889343943210918,0.6683879420629285,0.022337965422462965,0.7659250745602784,0.004439619924831276,0.20038213729858398,0.06640610694885254
LightGBM native trees=100 lr=0.03 leaves=15 child=25 sub=0.8 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.03,25,100,15,0.0,0.8,0.8042261556719374,0.009662502612176223,0.8264999097332376,0.002349941720007128,0.7099409244932614,0.012751377881086358,0.7414971361634658,0.004900243647678499,0.6739059400639806,0.026525209969867396,0.7235201875499838,0.006219403552589713,0.5090301003344482,0.022325510726794145,0.5603678929765886,0.011481367153024637,0.5797307396439304,0.02101723685442329,0.631492229534158,0.0072178928325428,0.8497861582352865,0.010415059161511189,0.8821544793197649,0.0016123452163601798,0.6683870133842202,0.01994810328447952,0.7356305307442379,0.004067385042192134,0.1329136848449707,0.08123154640197754
LightGBM native trees=200 lr=0.03 leaves=15 child=25 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,25,200,15,1.0,0.8,0.8040493237993322,0.012913801712746214,0.8362620484471656,0.0022794200011830826,0.7145210062472562,0.01750650225514244,0.7597848197190967,0.005656797308062914,0.666923409257521,0.03368435222534171,0.736201289514716,0.0030034691045577743,0.5237458193979933,0.03062347329032666,0.5968227424749164,0.013118300105321189,0.5863528094369546,0.028336177864858578,0.6591404389772747,0.00787085097615305,0.8481613820364127,0.010920765686955219,0.8968184201201879,0.001735063526265921,0.6683064547772439,0.02035041386451193,0.761850764745992,0.0038014662802482156,0.1864851951599121,0.08628573417663574
LightGBM native trees=100 lr=0.03 leaves=15 child=10 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,10,100,15,1.0,0.8,0.8033390018297843,0.011406027375815166,0.8260119081251702,0.002922994207204034,0.7097642641488917,0.015599812235509986,0.7412717843329573,0.005564133676299687,0.6701705949988763,0.029437578095950122,0.7215776704988688,0.006541404545315484,0.5103678929765886,0.02688929932072477,0.5607023411371237,0.012100369575334844,0.5792094433682072,0.025646876870051065,0.6309734044400045,0.008369646021853607,0.8496814875014141,0.01045219494198654,0.8811721792166329,0.0019141236081755358,0.6681028410428914,0.02175564566427045,0.7339493914142073,0.0026252749598677625,0.133473539352417,0.07755608558654785
LightGBM native trees=100 lr=0.03 leaves=15 child=25 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,25,100,15,0.0,0.8,0.8035166217232124,0.010794117616912164,0.8250799357954273,0.001474763454821123,0.7079625443223572,0.013384209804185905,0.7386613035879972,0.004434085026318473,0.6738397660206434,0.030667388370438104,0.7218713121978784,0.003631347408412856,0.5043478260869565,0.02171596398762263,0.554515050167224,0.011160249975560914,0.5766638444063117,0.022330933196605392,0.6271378327753934,0.006378360824036623,0.8496852742175418,0.011337060090055058,0.8808702349626701,0.0018247711009047424,0.6678639459215425,0.021843667710015034,0.7331293894133253,0.0045689956166645755,0.11388111114501953,0.06807785034179688
LightGBM native trees=100 lr=0.03 leaves=15 child=10 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,10,100,15,1.0,0.8,0.8042264708802666,0.01177303258855143,0.8248581965271807,0.003106581781417944,0.7099410705306821,0.013787470839348613,0.7389376513554977,0.007107619521771307,0.6741040021578077,0.03278213153701933,0.7203564663969473,0.006954051074923974,0.5090301003344482,0.019887717387717052,0.5558528428093645,0.016675519548251416,0.5798919103805839,0.023164083883716383,0.6273388535942028,0.010393941918175161,0.8493195603732471,0.011189463105723994,0.8801750482672006,0.0019352003459909475,0.6676884006887566,0.02219226884395352,0.730521281258237,0.004136275122719925,0.13952140808105468,0.08179678916931152
LightGBM native trees=200 lr=0.03 leaves=15 child=10 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,10,200,15,1.0,0.8,0.8024513751751376,0.012676622133116705,0.8375491520732119,0.004411931063813619,0.7147155168578857,0.018515283208381608,0.762102886300308,0.007536063537907986,0.6600486839963271,0.03138668944842532,0.7379209859897267,0.008520092076545853,0.5277591973244148,0.034459523404391304,0.6013377926421405,0.014819865579334138,0.586080862832742,0.029524232883782097,0.6625967647824194,0.011288998073253587,0.8472447832942412,0.009566172903286489,0.9003537764690334,0.0014745163371166583,0.6672284644287604,0.02125700842265708,0.7687014861747886,0.0028148264969867242,0.17340002059936524,0.06062836647033691
LightGBM native trees=100 lr=0.03 leaves=15 child=10 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,10,100,15,0.0,0.8,0.8038718615100686,0.010708202941241545,0.8253462670411735,0.0021401572293216027,0.7088452618945233,0.011751479235767841,0.7384152128906931,0.005245295315402021,0.6744178114099708,0.03231236264190636,0.7236241704594545,0.005730530815654935,0.5063545150501672,0.01700102344767736,0.5531772575250835,0.012807661631348914,0.5781885040882337,0.01993607144945065,0.6269136549026647,0.007653260093354611,0.8498395756955517,0.011068995882368956,0.8833561028932259,0.0018561778083292465,0.66700764677502,0.021531953868862422,0.736990138306542,0.004450535086914918,0.12679729461669922,0.06731977462768554
