threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1456,39,2654,1485,0.5220092296769613,0.6663476790234987,0.3542579075425791,0.9739130434782609,0.3587823145687364,0.519536128456735,0.7294994675186368,0.2653532126375577
0.1,1408,87,2107,2032,0.6105786297479588,0.7163729303040416,0.40056899004267427,0.9418060200668896,0.49093984054119355,0.5620758483033932,0.6238906638267661,0.2653532126375577
0.15,1365,130,1751,2388,0.6661341853035144,0.744997216298833,0.4380616174582799,0.9130434782608695,0.5769509543367963,0.5920624593363696,0.5530706425275116,0.2653532126375577
0.2,1277,218,1412,2727,0.7106851260205893,0.756517698925548,0.4748977314986984,0.854180602006689,0.6588547958444069,0.6104206500956023,0.477280795172169,0.2653532126375577
0.25,1221,274,1179,2960,0.7421015264465743,0.7659354973209401,0.50875,0.8167224080267559,0.7151485866151244,0.6269576379974326,0.42598509052183176,0.2653532126375577
0.3,1146,349,972,3167,0.7655307064252751,0.7658579253871123,0.5410764872521246,0.7665551839464882,0.7651606668277362,0.6343758649321893,0.3759318423855165,0.2653532126375577
0.35,1072,423,807,3332,0.7816826411075612,0.7610411123168879,0.5705162320383182,0.717056856187291,0.8050253684464846,0.6354475400118553,0.3335108271210508,0.2653532126375577
0.4,992,503,679,3460,0.7902023429179978,0.7497479316171082,0.5936564931178935,0.6635451505016723,0.8359507127325441,0.6266582438408086,0.29659211927582535,0.2653532126375577
0.45,899,596,542,3597,0.7980120695775648,0.7351941439654288,0.6238723108952117,0.6013377926421405,0.869050495288717,0.6123978201634878,0.25576854810081645,0.2653532126375577
0.5,813,682,434,3705,0.8019169329073482,0.7194782317800901,0.6519647153167603,0.5438127090301004,0.8951437545300798,0.5929978118161926,0.22133475328363508,0.2653532126375577
0.55,727,768,334,3805,0.8044018459353922,0.7027959025858119,0.6852026390197926,0.4862876254180602,0.9193041797535637,0.5688575899843505,0.1883209087681931,0.2653532126375577
0.6,593,902,242,3897,0.7969471068512602,0.6690936446769089,0.7101796407185629,0.39665551839464885,0.9415317709591688,0.5090128755364807,0.14820731274405397,0.2653532126375577
0.65,458,1037,149,3990,0.7894923677671282,0.6351777407335881,0.7545304777594728,0.3063545150501672,0.9640009664170089,0.4357754519505233,0.10773872914447995,0.2653532126375577
0.7,314,1181,89,4050,0.774582889598864,0.5942653331835764,0.7791563275434243,0.21003344481605352,0.9784972215510993,0.3308746048472076,0.07152999645012424,0.2653532126375577
0.75,151,1344,27,4112,0.7566560170394037,0.5472400148356323,0.848314606741573,0.10100334448160535,0.9934766851896594,0.18051404662283324,0.03159389421370252,0.2653532126375577
0.8,45,1450,4,4135,0.741924032658857,0.5145669587196106,0.9183673469387755,0.030100334448160536,0.9990335829910606,0.05829015544041451,0.008697195598154064,0.2653532126375577
0.85,2,1493,0,4139,0.7350017749378772,0.5006688963210703,1.0,0.0013377926421404682,1.0,0.0026720106880427524,0.0003549875754348598,0.2653532126375577
0.9,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
0.95,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
