stage,model,fold,split,architecture,activation,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,random_state,fit_time_seconds,score_time_seconds,convergence_warning_count,n_iter,final_loss,best_internal_validation_accuracy,trainable_parameter_count,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",1,train,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.5107254000613466,0.02061959996353835,0,35,0.36504736595855886,0.810930576070901,2049,680,516,296,3015,0.8198358109607278,0.7395814498948978,0.6967213114754098,0.568561872909699,0.9106010268800967,0.6261510128913443,0.8641094749537621,0.6961157642181991,0.2165520301752829,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",1,validation,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.5107254000613466,0.02061959996353835,0,35,0.36504736595855886,0.810930576070901,2049,161,138,80,748,0.8065661047027507,0.7209215904868078,0.6680497925311203,0.5384615384615384,0.9033816425120773,0.5962962962962963,0.8421590486807877,0.6361844016741665,0.21384205856255545,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",2,train,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.36482599994633347,0.019463100004941225,0,29,0.37720248093503495,0.8316100443131462,2049,641,555,276,3035,0.8156201464388728,0.726297337647186,0.6990185387131952,0.5359531772575251,0.9166414980368469,0.6067203028868907,0.8587562589079272,0.6775084871699827,0.20346128244952297,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",2,validation,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.36482599994633347,0.019463100004941225,0,29,0.37720248093503495,0.8316100443131462,2049,142,157,82,746,0.7879325643300799,0.6879412857673728,0.6339285714285714,0.47491638795986624,0.9009661835748792,0.5430210325047801,0.8289164364306141,0.6223534209550828,0.19875776397515527,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",3,train,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.3965076000895351,0.022137299994938076,0,29,0.3787494678295597,0.8242245199409158,2049,654,542,305,3006,0.8120701131573108,0.7273527786672377,0.6819603753910324,0.5468227424749164,0.907882814859559,0.6069605568445475,0.8562645645557678,0.664826106570331,0.21278011981362324,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",3,validation,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.3965076000895351,0.022137299994938076,0,29,0.3787494678295597,0.8242245199409158,2049,159,140,73,755,0.8110026619343389,0.7218041620215534,0.6853448275862069,0.5317725752508361,0.9118357487922706,0.5988700564971752,0.8398768843003248,0.6779053364010179,0.20585625554569653,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",4,train,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.49815219989977777,0.019401900004595518,0,38,0.3634922725255341,0.7754800590841949,2049,571,625,208,3103,0.8151763922786777,0.7073019245668386,0.7329910141206675,0.4774247491638796,0.9371790999697976,0.5782278481012658,0.8596604356210017,0.6820337241422124,0.1728422453960506,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",4,validation,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.49815219989977777,0.019401900004595518,0,38,0.3634922725255341,0.7754800590841949,2049,140,159,66,762,0.8003549245785271,0.6942586399108138,0.6796116504854369,0.4682274247491639,0.9202898550724637,0.5544554455445545,0.8599377150889438,0.6634569260188147,0.18278615794143743,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",5,train,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.3590657999739051,0.019411500077694654,0,29,0.3882919142320785,0.8197932053175776,2049,716,480,399,2913,0.8050133096716947,0.739095596432553,0.6421524663677131,0.5986622073578596,0.8795289855072463,0.61964517524881,0.8534108259415442,0.6708288228279788,0.24733806566104702,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42",5,validation,"(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.3590657999739051,0.019411500077694654,0,29,0.3882919142320785,0.8197932053175776,2049,174,125,91,736,0.8081705150976909,0.7359517618179097,0.6566037735849056,0.5819397993311036,0.8899637243047158,0.6170212765957447,0.8508773703558417,0.6537522285438593,0.2353463587921847,0.2655417406749556
depth_comparison,"MLPClassifier hidden=(64, 32) activation=relu alpha=0.001 seed=42",1,train,"(64, 32)",relu,0.001,0.001,64,500,True,0.15,20,42,0.6178610000060871,0.021632199990563095,0,34,0.34700359358368066,0.8286558345642541,5121,682,514,281,3030,0.8236077213223874,0.7426827469800169,0.7082035306334372,0.5702341137123745,0.9151313802476593,0.6317739694302918,0.8656279261688766,0.7069041519006705,0.21366762813401374,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(64, 32) activation=relu alpha=0.001 seed=42",1,validation,"(64, 32)",relu,0.001,0.001,64,500,True,0.15,20,42,0.6178610000060871,0.021632199990563095,0,34,0.34700359358368066,0.8286558345642541,5121,158,141,89,739,0.7959183673469388,0.7104700854700854,0.6396761133603239,0.5284280936454849,0.892512077294686,0.5787545787545788,0.8404100625272647,0.6262711970240783,0.2191659272404614,0.2653061224489796
depth_comparison,"MLPClassifier hidden=(64, 32) activation=relu alpha=0.001 seed=42",2,train,"(64, 32)",relu,0.001,0.001,64,500,True,0.15,20,42,0.4744297000579536,0.0224762000143528,0,26,0.3640420134525149,0.8330871491875923,5121,667,529,289,3022,0.818504548480142,0.7352037497386334,0.6976987447698745,0.5576923076923077,0.9127151917849592,0.6198884758364313,0.8607365839418419,0.6890358552031051,0.21211448857333037,0.2653649877967606
depth_comparison,"MLPClassifier hidden=(64, 32) activation=relu alpha=0.001 seed=42",2,validation,"(64, 32)",relu,0.001,0.001,64,500,True,0.15,20,42,0.4744297000579536,0.0224762000143528,0,26,0.3640420134525149,0.8330871491875923,5121,148,151,82,746,0.7932564330079858,0.6979747305834263,0.6434782608695652,0.49498327759197325,0.9009661835748792,0.5595463137996219,0.8224900231043898,0.6375776696455077,0.20408163265306123,0.2653061224489796
