stage,model,fold,split,architecture,activation,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,random_state,fit_time_seconds,score_time_seconds,convergence_warning_count,n_iter,final_loss,best_internal_validation_accuracy,trainable_parameter_count,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,1,train,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.305224800016731,0.02515919995494187,0,31,0.3996882854695129,0.8138847858197932,769,616,580,277,3034,0.8098513423563346,0.7156948208515448,0.6898096304591266,0.5150501672240803,0.9163394744790093,0.5897558640497846,0.8505848297304314,0.6734797361790262,0.19813623252717993,0.2653649877967606
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,1,validation,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.305224800016731,0.02515919995494187,0,31,0.3996882854695129,0.8138847858197932,769,149,150,72,756,0.80301685891748,0.705685618729097,0.6742081447963801,0.4983277591973244,0.9130434782608695,0.573076923076923,0.8440696039939898,0.651030314169795,0.1960958296362023,0.2653061224489796
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,2,train,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.2414118000306189,0.02042829990386963,0,27,0.39641030506604136,0.7991137370753324,769,657,539,312,2999,0.8111826048369204,0.7275498768168132,0.6780185758513931,0.5493311036789298,0.9057686499546964,0.6069284064665127,0.8516109774957094,0.6717308154151463,0.2149988906145995,0.2653649877967606
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,2,validation,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.2414118000306189,0.02042829990386963,0,27,0.39641030506604136,0.7991137370753324,769,147,152,91,737,0.7843833185448092,0.690867707172055,0.6176470588235294,0.4916387959866221,0.8900966183574879,0.547486033519553,0.8212661367198231,0.631239840532698,0.2111801242236025,0.2653061224489796
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,3,train,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.25527019996661693,0.01933490007650107,0,30,0.4024643904900077,0.8212703101920237,769,626,570,289,3022,0.8094075881961393,0.7180632815112087,0.6841530054644809,0.5234113712374582,0.9127151917849592,0.5930838465182378,0.8508103372865758,0.6651199691324932,0.2030175282893277,0.2653649877967606
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,3,validation,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.25527019996661693,0.01933490007650107,0,30,0.4024643904900077,0.8212703101920237,769,149,150,74,754,0.8012422360248447,0.7044778892604979,0.6681614349775785,0.4983277591973244,0.9106280193236715,0.5708812260536399,0.8399576688801641,0.6844568115563691,0.19787045252883761,0.2653061224489796
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,4,train,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.25582419999409467,0.018961300025694072,0,28,0.40887501633605955,0.8064992614475628,769,637,559,324,2987,0.8040825382737963,0.7173765314564101,0.6628511966701353,0.532608695652174,0.9021443672606463,0.5906351414000928,0.8435317210595271,0.6618119508550803,0.2132238739738185,0.2653649877967606
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,4,validation,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.25582419999409467,0.018961300025694072,0,28,0.40887501633605955,0.8064992614475628,769,182,117,91,737,0.8154392191659272,0.7493961352657005,0.6666666666666666,0.6086956521739131,0.8900966183574879,0.6363636363636364,0.8611575622445189,0.6730989696191192,0.2422360248447205,0.2653061224489796
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,5,train,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.2746451999992132,0.020022200071252882,0,32,0.40472228863971904,0.810930576070901,769,601,595,258,3054,0.8107808340727596,0.7123049052396879,0.69965075669383,0.5025083612040134,0.9221014492753623,0.5849148418491484,0.8483670911896336,0.6734246887616634,0.19055013309671695,0.2653061224489796
selected_candidate_oof,MLPClassifier hidden=(16) activation=relu alpha=0.001 seed=42,5,validation,(16),relu,0.001,0.001,64,500,True,0.15,20,42,0.2746451999992132,0.020022200071252882,0,32,0.40472228863971904,0.810930576070901,769,142,157,56,771,0.8108348134991119,0.7036008783813841,0.7171717171717171,0.47491638795986624,0.932285368802902,0.5714285714285714,0.8513950168437314,0.6576779100804007,0.17584369449378331,0.2655417406749556
