threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1292,203,1585,2554,0.6826411075612353,0.7406356535152611,0.44907890163364617,0.8642140468227425,0.6170572602077796,0.5910338517840805,0.5106496272630457,0.2653532126375577
0.1,1270,225,1497,2642,0.6943556975505857,0.7439083810818214,0.4589808456812432,0.8494983277591973,0.6383184344044455,0.5959643359924918,0.4911253106141285,0.2653532126375577
0.15,1264,231,1456,2683,0.7005679801206958,0.7468545792894249,0.4647058823529412,0.8454849498327759,0.6482242087460739,0.5997627520759193,0.4827831025914093,0.2653532126375577
0.2,1255,240,1421,2718,0.7051828186013489,0.7480726202587186,0.46898355754857995,0.8394648829431438,0.6566803575742933,0.6017741548789259,0.4749733759318424,0.2653532126375577
0.25,1243,252,1391,2748,0.7083777067802627,0.7476833061158197,0.47190584662110857,0.831438127090301,0.6639284851413385,0.6020828287720997,0.46751863684771033,0.2653532126375577
0.3,1237,258,1363,2776,0.7122825701100461,0.7490590766838968,0.4757692307692308,0.8274247491638796,0.670693404203914,0.6041514041514041,0.4614838480653177,0.2653532126375577
0.35,1234,261,1339,2800,0.7160099396521121,0.7509549832291096,0.4795958025650991,0.8254180602006689,0.6764919062575502,0.6066863323500492,0.4566915157969471,0.2653532126375577
0.4,1225,270,1313,2826,0.7190273340433084,0.7510858050633464,0.48266351457840817,0.8193979933110368,0.682773616815656,0.6074882221671213,0.4504792332268371,0.2653532126375577
0.45,1218,277,1279,2860,0.723819666311679,0.7528519402275928,0.48778534241089305,0.8147157190635451,0.6909881613916405,0.6102204408817635,0.4432019879304224,0.2653532126375577
0.5,1209,286,1253,2886,0.7268370607028753,0.7529827620618297,0.4910641754670999,0.808695652173913,0.6972698719497463,0.6110689916603488,0.4369897053603124,0.2653532126375577
0.55,1197,298,1227,2912,0.7293219737309194,0.7521102394144612,0.4938118811881188,0.8006688963210702,0.7035515825078521,0.6108701199285532,0.43024494142705005,0.2653532126375577
0.6,1193,302,1193,2946,0.7346467873624423,0.7548797190603129,0.5,0.7979933110367893,0.7117661270838367,0.6147900025766555,0.4235001774937877,0.2653532126375577
0.65,1182,313,1157,2982,0.739084132055378,0.7555496658346538,0.5053441641727234,0.7906354515050167,0.7204638801642909,0.6165884194053208,0.41515796947106853,0.2653532126375577
0.7,1177,318,1124,3015,0.7440539581114661,0.757863895193853,0.5115167318557149,0.7872909698996655,0.7284368204880406,0.6201264488935722,0.4084132055378062,0.2653532126375577
0.75,1167,328,1079,3060,0.7502662406815761,0.7599555092637857,0.5195903829029386,0.7806020066889632,0.7393090118386083,0.623897353648757,0.39865104721334754,0.2653532126375577
0.8,1148,347,1032,3107,0.7552360667376642,0.7592786941411374,0.5266055045871559,0.7678929765886288,0.7506644116936458,0.6247619047619047,0.38693645722399717,0.2653532126375577
0.85,1126,369,988,3151,0.7591409300674477,0.7572361281585311,0.532639545884579,0.7531772575250836,0.7612949987919787,0.6239955666389582,0.3752218672346468,0.2653532126375577
0.9,1098,397,928,3211,0.7648207312744054,0.7551197072305931,0.5419545903257651,0.7344481605351171,0.7757912539260691,0.6236864527122976,0.35960241391551295,0.2653532126375577
0.95,1046,449,833,3306,0.7724529641462549,0.7492046048639218,0.5566790846194785,0.6996655518394649,0.7987436578883789,0.6200355660936574,0.3335108271210508,0.2653532126375577
