model,n_estimators,max_depth,min_samples_leaf,max_features,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std
Random forest trees=200 depth=10 leaf=10 max_features=sqrt,200,10.0,10,sqrt,0.8038715463017395,0.009228718255341568,0.833022839951813,0.002843170200781081,0.7060679222290074,0.009614691786807749,0.7477525016832398,0.0064656504600167876,0.6787625869799304,0.030805994183202203,0.7435683363577605,0.0068559905075228226,0.4976588628762542,0.015601209083198116,0.5660535117056856,0.01515201510377834,0.573927903552261,0.01629915676303123,0.6426377538979591,0.009440004449813287,0.8469606516187754,0.008841019915575342,0.898390841041795,0.001461965134077179,0.6635663252924062,0.018988361073892852,0.7591099456609275,0.004328285846643588
Random forest trees=200 depth=None leaf=10 max_features=log2,200,,10,log2,0.8028067725661583,0.008723119110270862,0.8329784448483863,0.0018062760106055354,0.7010702183866055,0.00907529299986479,0.7446244464444666,0.005034530715962683,0.6815845932059096,0.0306904692751889,0.7497149374593112,0.003288911204996686,0.48428093645484943,0.01471571906354514,0.5563545150501672,0.012134984987643302,0.5659141566941673,0.015687330479174914,0.638628878753545,0.007320666648838778,0.8478329004080862,0.00911558182036142,0.8973518476499638,0.001667585116883452,0.6628601231626663,0.018829953025264655,0.7600780492532893,0.0038645329331707897
Random forest trees=100 depth=10 leaf=10 max_features=sqrt,100,10.0,10,sqrt,0.8031602787072046,0.006025938625448654,0.8332890826042266,0.003059896780999513,0.7049432206508596,0.006055914659201184,0.7484678400186489,0.0057320043502248836,0.677014198404952,0.02226258237945179,0.7434365624307342,0.007460550290210224,0.49565217391304345,0.013610026721990494,0.5677257525083612,0.012469131693851014,0.5719703520420171,0.010128538784195708,0.6437215406689778,0.008658372873958538,0.8468181625655744,0.009211425763199646,0.8978926993216654,0.0014427684353447924,0.6626076100803726,0.018994527687347003,0.7587035375058159,0.004209129196235411
Random forest trees=200 depth=10 leaf=10 max_features=log2,200,10.0,10,log2,0.8013861286270629,0.007346409999722935,0.8309372150863027,0.0015636329376114324,0.6996761002346934,0.007355367797931914,0.7428613250023767,0.005364811897040128,0.676943825514198,0.025908483291668886,0.7428731531533022,0.0053884794362102145,0.482943143812709,0.012442190794473753,0.5551839464882944,0.013970968945956773,0.5634503924736671,0.012672830325885226,0.6353104774736013,0.007564862988739578,0.8476685374890561,0.008967525463817353,0.8944580925109265,0.0015111015994734023,0.6624886016980792,0.019115067259087837,0.7512709609746593,0.004234868826966232
Random forest trees=100 depth=6 leaf=1 max_features=sqrt,100,6.0,1,sqrt,0.799965642292132,0.007342357431297595,0.8162939971717071,0.0021498830695782403,0.6948642009259222,0.009330074148257993,0.7185273333845122,0.009165764306603711,0.6783125179683569,0.027825199263751297,0.7163249817685446,0.00842930044453132,0.47090301003344487,0.021508943399081652,0.5102006688963211,0.024527845287772677,0.5552777715122662,0.015753446790775543,0.595441290822378,0.014125860706681054,0.8473721440428719,0.009363437582839725,0.8754267091799239,0.0016333559495483527,0.6622990671012403,0.014561520888498929,0.7089708198126609,0.005689584083425203
Random forest trees=100 depth=10 leaf=10 max_features=log2,100,10.0,10,log2,0.8010315192568648,0.00953916361942988,0.8312034478950127,0.0016225801909699666,0.7002894012330951,0.009718931504454369,0.742989092976454,0.004841668275647401,0.6746920432944192,0.03191465624585388,0.7439037221191412,0.003538823146747555,0.48561872909699,0.014866963726349734,0.5550167224080267,0.011981929175700902,0.5644199725926065,0.016681465577342677,0.6356299855902225,0.007027889520141986,0.8473420627763197,0.008901453145792486,0.8940735845056331,0.0015032320584978498,0.6621605406045777,0.017531234178356746,0.7502517885837993,0.004263046602198122
Random forest trees=100 depth=6 leaf=10 max_features=sqrt,100,6.0,10,sqrt,0.7996111905260984,0.007803346319205457,0.8145190986553696,0.0033265208632326368,0.6935541329264059,0.007964924774004782,0.7145955276326864,0.008898163038301696,0.6785540740415655,0.029094540707968103,0.7143464615634267,0.004168444003399111,0.46755852842809364,0.014866963726349759,0.5016722408026755,0.02103968693986837,0.5532512577073652,0.013885263561465027,0.5891363332536393,0.014582480995054872,0.8477427464776117,0.009431771969961906,0.8699293345717187,0.0019883121967196743,0.6620868102414301,0.015085822072920904,0.7020787136897064,0.00486022012742033
Random forest trees=200 depth=6 leaf=1 max_features=sqrt,200,6.0,1,sqrt,0.7996110329219339,0.009936854909973064,0.8158947365519751,0.0025537365412355976,0.693340603750151,0.011107133745621214,0.7172942016976396,0.008622480308660793,0.6791051394615073,0.033990442150104334,0.7164025582050912,0.0056450892495002345,0.4668896321070234,0.019570219181709432,0.507190635451505,0.02184563568088675,0.5528813124622083,0.019178601348178927,0.5935599617696171,0.01361240509888883,0.8472650160706611,0.00958180086677545,0.8755070341312482,0.0016580770425793925,0.6618583374046517,0.015378970890836783,0.708795618364952,0.005756061744396416
Random forest trees=100 depth=None leaf=10 max_features=log2,100,,10,log2,0.8022747009066966,0.010395906664037856,0.8331115809401485,0.0016863339258137446,0.7009218668345423,0.012096397158835849,0.7445014421316242,0.004039478634067189,0.679585204833447,0.03545257985436808,0.7506418280728943,0.0030125834593121227,0.48494983277591974,0.02125785763487718,0.555685618729097,0.00931964869103196,0.5655253667919673,0.020567365181962716,0.6385663747039604,0.006018196607279508,0.8464738761717159,0.00902852794051663,0.8968698262780312,0.0015991567224609177,0.6616195052241343,0.017963797639519104,0.7588621645334357,0.003542679703923246
Random forest trees=100 depth=None leaf=10 max_features=sqrt,100,,10,sqrt,0.8049363200373205,0.010333432836043235,0.8351084155988053,0.0027602891197949933,0.7067921217979048,0.011697280973147066,0.7498663291825577,0.005882036334970091,0.6819338502455644,0.03040152245733952,0.7497856672064982,0.004457957669183963,0.4976588628762542,0.016025616790248737,0.5682274247491639,0.012894700768332459,0.5752796670878796,0.02002796312309708,0.6464235829656763,0.008740658634572285,0.8462365404538016,0.009118575080511204,0.9007268316025379,0.0017078054097875656,0.6613508677300338,0.018325082390965305,0.7673043847550831,0.004716638329391548
