model,family,C,class_weight,loss,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
LinearSVC loss=squared_hinge C=0.1 class_weight=balanced,LinearSVC,0.1,balanced,squared_hinge,0.7451212842848158,0.014414391051684006,0.7470271522815046,0.0055422282999161784,0.76478724369871,0.019506488529160763,0.7666173703838011,0.005244429454926801,0.5126642732947972,0.017706022931512688,0.5149161206866413,0.006849742877490234,0.8066889632107023,0.037206512334912026,0.808361204013378,0.006243530000867738,0.6266998965015469,0.02164693402712692,0.6290853124211351,0.006420820538803992,0.8452767287992886,0.011418237338688686,0.8484611700450602,0.0028314891063471476,0.6593917541950179,0.01843526699150057,0.6634393823746649,0.005029098979639563,0.03902740478515625,0.024672222137451173
LinearSVC loss=squared_hinge C=0.01 class_weight=balanced,LinearSVC,0.01,balanced,squared_hinge,0.7438787330516423,0.013316424580766555,0.7481365376819928,0.005406830065366971,0.7626597817886395,0.018498771533264007,0.7673190378321825,0.00478941213558688,0.5111696093975825,0.01633676141804248,0.5163054870772392,0.006741119410023235,0.802675585284281,0.03614516678556866,0.8081939799331103,0.00635891416114768,0.6243789708881509,0.02035733659343602,0.6300625991237101,0.0059357841351800715,0.844706097590781,0.011228711317070842,0.8477069601235699,0.0027625208028208914,0.6587541398174946,0.01868886134626088,0.6625592366534032,0.004934317778739403,0.03284916877746582,0.022743844985961915
LinearSVC loss=squared_hinge C=1.0 class_weight=balanced,LinearSVC,1.0,balanced,squared_hinge,0.7447660444979599,0.014626534807813863,0.7468496604611302,0.005209905666854479,0.7643317305164736,0.019410844182718826,0.7661226566939408,0.005019262615125352,0.5122298482512595,0.017841366776574708,0.5147076981944461,0.0064357694707337446,0.8060200668896321,0.03545781479785569,0.807190635451505,0.0056609735383982675,0.6262119080012767,0.021641829408131114,0.628580030765059,0.006138731637636789,0.8454681941145414,0.01161998408336917,0.8487717080682635,0.002930551211593606,0.6587335515503975,0.018251928467365418,0.6629574568391864,0.005315261072857135,0.03753166198730469,0.026352310180664064
LinearSVC loss=squared_hinge C=10.0 class_weight=balanced,LinearSVC,10.0,balanced,squared_hinge,0.7442335000260047,0.014965870096227846,0.7467609096290911,0.005008924114903376,0.7637555904247982,0.019987398856016532,0.7659020138102545,0.0048022504243917085,0.5115760115573099,0.01822713700728651,0.5146037124958582,0.006190562754096894,0.8053511705685619,0.03641647515402325,0.8066889632107023,0.005245614428547863,0.6255200569181197,0.02228086330164653,0.6283517297518857,0.005888617375508383,0.845423760641952,0.011751718175666802,0.8488111500688709,0.0029468780853106765,0.6583891746702868,0.01843987864547144,0.6625409425389513,0.005362713654327494,0.03731813430786133,0.023096847534179687
LinearSVC loss=hinge C=0.01 class_weight=balanced,LinearSVC,0.01,balanced,hinge,0.7156556096838302,0.008312298202817984,0.718273378943806,0.010926406029897912,0.75071439259442,0.0047581629071136704,0.7538843339841823,0.007274963640402461,0.4795281618325767,0.008332173347656282,0.48237267590967897,0.011924619128494853,0.825418060200669,0.022225080569680453,0.8297658862876254,0.00431554779283076,0.6063953015948476,0.004742585597606618,0.6099857579939929,0.00925079222180568,0.8416130318597388,0.009551157187772495,0.8438377628480993,0.002807580042130576,0.6582124353612199,0.0172776916359133,0.6595761146318159,0.005409083543093991,0.025577592849731445,0.017085886001586913
LinearSVC loss=squared_hinge C=0.1 class_weight=None,LinearSVC,0.1,,squared_hinge,0.8012088239419638,0.011470090172610733,0.8053782354531224,0.002837535749478207,0.7153655406507516,0.01868503887348546,0.7203918693933861,0.004323813807863982,0.6545630547036968,0.027682887035613075,0.6641446616477589,0.00663695166988442,0.5324414715719064,0.038680487745286866,0.5392976588628763,0.008411221632079779,0.5865116547567892,0.028237042730327313,0.5952162978244282,0.006801307163598136,0.8426286444615159,0.01200211680806974,0.8459594856158139,0.002941719827964313,0.6573515280822317,0.01862250063290595,0.66178309558997,0.00464114227001781,0.03439970016479492,0.024663257598876952
LinearSVC loss=squared_hinge C=0.01 class_weight=None,LinearSVC,0.01,,squared_hinge,0.801386443835392,0.011321697216959614,0.8052450698302493,0.0027383862633826718,0.7150591092076819,0.018374822076582666,0.7192329956864841,0.004159718644357049,0.6556429571033089,0.027928042326795532,0.6650759169036454,0.006168015241629768,0.531103678929766,0.03809774144721913,0.535953177257525,0.007753861618307442,0.5861345143468504,0.027914735149477017,0.5935553702477205,0.006600618695708644,0.8422439252389216,0.011714458381346875,0.8453349622259259,0.0028383315339592648,0.657007410780238,0.018474796689560848,0.6609921837451441,0.004584046222830364,0.028373098373413085,0.01809515953063965
LinearSVC loss=squared_hinge C=1.0 class_weight=None,LinearSVC,1.0,,squared_hinge,0.8028059845453356,0.010801809763926501,0.8062656945549949,0.0027177861867542083,0.7173071980271917,0.017709222293214148,0.721423166626655,0.004448256292454448,0.6584903995710423,0.026589108040590895,0.6663325430693423,0.006079962786988242,0.5351170568561873,0.03742234309217223,0.5406354515050167,0.008967951623941074,0.5897064887907375,0.02662418201594224,0.5969063611467631,0.006937332414737845,0.8427579290944266,0.012239271459421561,0.8462990634812744,0.0030112851562552933,0.6563589108310771,0.018263030146953782,0.6617264984991873,0.004754132104672008,0.03495349884033203,0.02837672233581543
LinearSVC loss=squared_hinge C=10.0 class_weight=None,LinearSVC,10.0,,squared_hinge,0.8029836044387636,0.01174409935997451,0.8062212305456423,0.002205998323028013,0.7176417922251475,0.018582557841522546,0.7213929369136649,0.004153905130839356,0.6589349788527373,0.029261826560479213,0.6661854030070151,0.004474221409105535,0.5357859531772575,0.03873828022895054,0.5406354515050167,0.008921055965450946,0.5902230930273608,0.02796696654571578,0.5968462193437767,0.006414901498372205,0.8427773173935883,0.012397949718770758,0.8463461801694591,0.0030113194793996885,0.6560988622158341,0.018318010773746663,0.6615462637797551,0.004795745792777471,0.04778985977172852,0.03678274154663086
LinearSVC loss=hinge C=0.01 class_weight=None,LinearSVC,0.01,,hinge,0.8003210396831527,0.010515373219466984,0.8035145171988205,0.0022832479927251655,0.7139063909120688,0.013469197520270863,0.7168267266662111,0.004151485603476889,0.6531186953519224,0.027508106295025304,0.6612838205157814,0.00523990677509649,0.5297658862876254,0.024722031588730858,0.5321070234113712,0.009122529563201219,0.5846364418791097,0.02117913781894083,0.5896615712194164,0.006434501355951061,0.8367452881343708,0.012266371778981896,0.8389428907942339,0.003418665768504091,0.652486898609112,0.015521635589547505,0.6545982666424296,0.00448270651597498,0.02650752067565918,0.017853546142578124
