model,family,C,class_weight,gamma,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
RBF SVC C=10.0 gamma=0.001 class_weight=balanced,RBF SVC,10.0,balanced,0.001,0.7055377375291765,0.008666516645574465,0.707667999044767,0.010447994121361168,0.7463919545513573,0.0068958608588710795,0.7478413487703175,0.006369758977924855,0.4693459105032446,0.008505861621098875,0.47153070075481207,0.010815283954713192,0.8334448160535117,0.020442417110282426,0.8334448160535117,0.005428990996905672,0.6003499187796859,0.0071320438432966645,0.6022027378098407,0.00804811149641203,0.842408164099407,0.009875339268602965,0.8456731235248732,0.0025201318485894627,0.6594970334407602,0.016137523538174322,0.6631392058576976,0.004703901975947689,0.41942472457885743,0.356595516204834
RBF SVC C=1.0 gamma=0.01 class_weight=balanced,RBF SVC,1.0,balanced,0.01,0.7119274831718153,0.008524634806369061,0.7159217082999549,0.01415922200237593,0.7488177259771812,0.004535606409443652,0.7523906747112005,0.0082373384838063,0.4757510880972199,0.008360227680588557,0.48017425318166274,0.015432151967633987,0.8274247491638796,0.025259140586620994,0.8301003344481606,0.0065281676575061065,0.6038453141173662,0.004029228274110372,0.6082066598839917,0.010915795735662407,0.8422569318493274,0.010149099750063688,0.8487677766974212,0.0023657437530903726,0.6576593934794697,0.01747551501837428,0.6679192366299886,0.005278838648022841,0.43802547454833984,0.3784926891326904
RBF SVC C=1.0 gamma=0.001 class_weight=balanced,RBF SVC,1.0,balanced,0.001,0.734116258288009,0.012145662741454295,0.7369098625838658,0.00278394757971723,0.7587922727781305,0.015600252378714213,0.7612804515168013,0.002858939166564183,0.4995360934594332,0.014280648073152784,0.5026468191170552,0.0032695750960824175,0.8113712374581941,0.031130638871491874,0.8132107023411372,0.003871517358792733,0.6181817153367405,0.016954674561239398,0.6212760109523525,0.0033345251620837246,0.8406701869206697,0.009814987539715004,0.8423988126047739,0.0025614563417243916,0.6569058864828763,0.015278590034361404,0.6577380244047843,0.004534210511514021,0.4323758602142334,0.39883899688720703
RBF SVC C=0.1 gamma=0.01 class_weight=balanced,RBF SVC,0.1,balanced,0.01,0.7373104218905879,0.012384019761500036,0.7383741430317702,0.0032297892588911744,0.7605386893568378,0.016055345081544777,0.7613156363914706,0.0036745072939068017,0.5032364586309376,0.01475091563121428,0.5043811345663255,0.003797990595803698,0.8100334448160534,0.03031510152140375,0.8102006688963211,0.005154192310174716,0.6206507035190054,0.01765034834563837,0.6217157509046812,0.004215032010413229,0.8398233476657095,0.01005153759381728,0.8419203583822819,0.0025978019159478417,0.6553232701600391,0.01543796319826091,0.6572527321660169,0.004398983524194212,0.44192681312561033,0.4092130661010742
RBF SVC C=1.0 gamma=0.01 class_weight=None,RBF SVC,1.0,,0.01,0.7997892832320201,0.008471443876700123,0.8036476434468792,0.0023565864019479406,0.6996570816690685,0.0071380932069161915,0.7055940520551238,0.005528738057765043,0.6700853257571217,0.029147738625436955,0.6773056873901828,0.004061396698723753,0.4862876254180602,0.010491228857095726,0.4966555183946489,0.012702427434670883,0.5632552193144635,0.012440677217635095,0.5729964222321471,0.008938128832312544,0.8355004212031799,0.013505562131562244,0.8412992558021297,0.003863071865629958,0.6551929667203656,0.013722287301952773,0.6633718249401925,0.003716993895438613,0.3121666431427002,0.322599458694458
RBF SVC C=10.0 gamma=0.001 class_weight=None,RBF SVC,10.0,,0.001,0.8010307312360423,0.01011444317362233,0.803647623759472,0.002303363041240545,0.7131075774548777,0.013252712063788552,0.7157956847668678,0.004526584160100338,0.6568492471015475,0.026651837605225746,0.6631081583865439,0.004812966383087306,0.525752508361204,0.025241421089114643,0.5285953177257525,0.010025080125298893,0.5836219035239751,0.020735015684079643,0.5882123099813356,0.007028402614907883,0.83694890727964,0.012622281297144784,0.8398749872747817,0.003637218504148348,0.653904672324928,0.016306281186908446,0.6572948175876363,0.004266687716105133,0.31647634506225586,0.32748947143554685
RBF SVC C=0.1 gamma=0.001 class_weight=None,RBF SVC,0.1,,0.001,0.7346467539058252,9.424729039042568e-05,0.7346467852727956,2.3546139112395893e-05,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383590573121367,0.011718788553392093,0.8399027042115966,0.003084234172491535,0.6530211236458534,0.01599439295271308,0.6539969448210246,0.004271584777478046,0.3713541984558105,0.39526591300964353
RBF SVC C=1.0 gamma=0.001 class_weight=None,RBF SVC,1.0,,0.001,0.7969478377496647,0.0028316745811680063,0.8004527414616207,0.0033025030567486674,0.6861877133550547,0.006664859033175386,0.691722424160493,0.0090039998986281,0.6779613047612993,0.021622439574324775,0.6844637420862804,0.002142420740784428,0.45016722408026755,0.022840630205971744,0.46003344481605357,0.021201217333560653,0.5402388578678827,0.011592203558686521,0.5499758658524537,0.015565101753566617,0.8381644153166704,0.012021309007244673,0.83989664407192,0.003069492602540138,0.6529842005872043,0.01566581606780135,0.65431852506283,0.004300704470773054,0.3472096920013428,0.362715482711792
RBF SVC C=0.1 gamma=0.01 class_weight=None,RBF SVC,0.1,,0.01,0.793752255709605,0.0026041987939397124,0.796902865679317,0.002791824998447876,0.6731166564889819,0.008900844185948685,0.6783569585958362,0.009159875554386535,0.6839017192297294,0.01641962359156435,0.6903099045755403,0.003341614976065861,0.4160535117056856,0.025610956145921918,0.42575250836120404,0.022790378429903235,0.5165678673488742,0.01664362534662819,0.526265972826591,0.016830884782012712,0.8376689430725817,0.012065493769556701,0.8397654926030921,0.0030608922058080424,0.6523903055624516,0.015268497030558872,0.6543832859729053,0.004414664365870778,0.32456188201904296,0.35766100883483887
RBF SVC C=10.0 gamma=0.01 class_weight=None,RBF SVC,10.0,,0.01,0.8035155184940607,0.007428191858672876,0.8123447426452277,0.0019262847349260294,0.7011253755970122,0.010057871683073984,0.7143441443681586,0.004997475786836322,0.6844695277794403,0.023888730105766472,0.7038723426272807,0.003548011977910416,0.4829431438127091,0.020573319731410966,0.5055183946488293,0.011937503877976416,0.5659284643290123,0.016857002228340304,0.5883401785701942,0.008030379769536206,0.817706420865858,0.018768974786890765,0.8412956235763914,0.0037450959922540436,0.649722805673956,0.016026598880369943,0.6760208399609471,0.004004942977291686,0.3380303382873535,0.30370373725891114
