threshold,threshold_scale,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
-1.3077193110527778,decision_function_score,1492,3,3860,279,0.31434149804756834,0.5327004487051548,0.2787742899850523,0.9979933110367893,0.06740758637352018,0.43581130422082665,0.9499467518636848,0.2653532126375577
-1.0589667585007339,decision_function_score,1485,10,3444,695,0.38693645722399717,0.5806129960462555,0.3012781497261108,0.9933110367892977,0.16791495530321335,0.4623287671232877,0.874866879659212,0.2653532126375577
-0.8505296753361666,decision_function_score,1472,23,3035,1104,0.45722399716009937,0.6256732395413236,0.32660306190370536,0.9846153846153847,0.2667310944672626,0.49050316561146284,0.7999645012424565,0.2653532126375577
-0.6646797118015516,decision_function_score,1456,39,2628,1511,0.5266240681576145,0.6694885343025516,0.356513222331048,0.9739130434782609,0.3650640251268422,0.5219573400250941,0.7248846290379837,0.2653532126375577
-0.48826228487924683,decision_function_score,1427,68,2235,1904,0.5912318068867589,0.7072647732111791,0.3896777717094484,0.954515050167224,0.4600144962551341,0.5534225324801241,0.6499822506212283,0.2653532126375577
-0.30395348531949723,decision_function_score,1381,114,1858,2281,0.6499822506212283,0.737422559372831,0.42636616239580116,0.9237458193979933,0.5510992993476685,0.583438952260245,0.5749023784167554,0.2653532126375577
-0.17662513937915122,decision_function_score,1305,190,1512,2627,0.6979055733049343,0.7538020348087893,0.46325878594249204,0.8729096989966555,0.6346943706209229,0.6052875695732839,0.5,0.2653532126375577
-0.016689609663341407,decision_function_score,1212,283,1183,2956,0.7397941072062478,0.7624422553716543,0.506054279749478,0.8107023411371237,0.7141821696061851,0.6231362467866324,0.4250976215832446,0.2653532126375577
0.0,decision_function_score,1206,289,1147,2992,0.7451189208377706,0.7647844429486708,0.5125371865703358,0.8066889632107024,0.7228799226866393,0.6268191268191268,0.4176428824991125,0.2653532126375577
0.13518567442471496,decision_function_score,1106,389,866,3273,0.7772452964146255,0.765285024334154,0.5608519269776876,0.7397993311036789,0.7907707175646291,0.6380155754254399,0.3500177493787717,0.2653532126375577
0.29090168935952576,decision_function_score,946,549,604,3535,0.7953496627618033,0.7434234756912993,0.6103225806451613,0.6327759197324415,0.8540710316501571,0.6213464696223316,0.2751153709620163,0.2653532126375577
0.45485224434611954,decision_function_score,756,739,371,3768,0.8029818956336529,0.7080252205749857,0.6708074534161491,0.505685618729097,0.9103648224208746,0.5766590389016019,0.20003549875754348,0.2653532126375577
0.5976696773318847,decision_function_score,519,976,186,3953,0.7937522186723465,0.6511093998598857,0.7361702127659574,0.34715719063545153,0.9550616090843199,0.4718181818181818,0.12513312034078808,0.2653532126375577
0.7704899788430818,decision_function_score,227,1268,55,4084,0.7651757188498403,0.5692756155050135,0.8049645390070922,0.15183946488294314,0.9867117661270839,0.2554867754642656,0.05005324813631523,0.2653532126375577
