feature,level,count,training_percentage,churn_count,churn_percentage
Contract,Month-to-month,3102,55.05857294994675,1326,42.74661508704062
Contract,One year,1173,20.820021299254527,130,11.082693947144074
Contract,Two year,1359,24.121405750798722,39,2.869757174392936
Dependents,No,3955,70.19879304224352,1240,31.352718078381795
Dependents,Yes,1679,29.801206957756477,255,15.187611673615248
DeviceProtection,No,2472,43.87646432374867,963,38.95631067961165
DeviceProtection,Yes,1948,34.575789847355345,444,22.792607802874745
DeviceProtection,No internet service,1214,21.547745828895987,88,7.248764415156508
InternetService,Fiber optic,2483,44.07170749023784,1045,42.08618606524366
InternetService,DSL,1937,34.38054668086617,362,18.68869385647909
InternetService,No,1214,21.547745828895987,88,7.248764415156508
MultipleLines,Yes,2390,42.421015264465744,688,28.786610878661087
MultipleLines,No,2685,47.657082002129926,672,25.027932960893853
MultipleLines,No phone service,559,9.92190273340433,135,24.15026833631485
OnlineBackup,No,2442,43.34398296059638,980,40.13104013104013
OnlineBackup,Yes,1978,35.10827121050763,427,21.587462082912033
OnlineBackup,No internet service,1214,21.547745828895987,88,7.248764415156508
OnlineSecurity,No,2797,49.64501242456514,1173,41.93779048981051
OnlineSecurity,Yes,1623,28.80724174653887,234,14.417744916820702
OnlineSecurity,No internet service,1214,21.547745828895987,88,7.248764415156508
PaperlessBilling,Yes,3331,59.123180688675895,1126,33.80366256379465
PaperlessBilling,No,2303,40.876819311324105,369,16.022579244463742
Partner,No,2905,51.561945331913385,952,32.7710843373494
Partner,Yes,2729,48.438054668086615,543,19.897398314400878
PaymentMethod,Electronic check,1891,33.56407525736599,865,45.742993125330514
PaymentMethod,Mailed check,1286,22.825701100461483,248,19.2846034214619
PaymentMethod,Bank transfer (automatic),1244,22.080227192048277,201,16.157556270096464
PaymentMethod,Credit card (automatic),1213,21.529996450124244,181,14.921681780708987
PhoneService,Yes,5075,90.07809726659566,1360,26.798029556650246
PhoneService,No,559,9.92190273340433,135,24.15026833631485
SeniorCitizen,1,920,16.32942847000355,378,41.08695652173913
SeniorCitizen,0,4714,83.67057152999645,1117,23.695375477301656
StreamingMovies,No,2217,39.350372736954206,745,33.603969327920616
StreamingMovies,Yes,2203,39.1018814341498,662,30.049931911030413
StreamingMovies,No internet service,1214,21.547745828895987,88,7.248764415156508
StreamingTV,No,2226,39.51011714589989,737,33.108715184186885
StreamingTV,Yes,2194,38.94213702520412,670,30.537830446672743
StreamingTV,No internet service,1214,21.547745828895987,88,7.248764415156508
TechSupport,No,2771,49.183528576499825,1157,41.75387946589679
TechSupport,Yes,1649,29.268725594604188,250,15.160703456640388
TechSupport,No internet service,1214,21.547745828895987,88,7.248764415156508
gender,Female,2801,49.71600993965211,746,26.633345233845056
gender,Male,2833,50.28399006034789,749,26.438404518178608
