feature,number_of_levels,most_common_level,most_common_count,most_common_percentage,least_common_level,least_common_count,least_common_percentage
PaymentMethod,4,Electronic check,1891,33.56407525736599,Credit card (automatic),1213,21.529996450124244
Contract,3,Month-to-month,3102,55.05857294994675,One year,1173,20.820021299254527
DeviceProtection,3,No,2472,43.87646432374867,No internet service,1214,21.54774582889599
InternetService,3,Fiber optic,2483,44.07170749023784,No,1214,21.54774582889599
MultipleLines,3,No,2685,47.657082002129926,No phone service,559,9.92190273340433
OnlineBackup,3,No,2442,43.34398296059638,No internet service,1214,21.54774582889599
OnlineSecurity,3,No,2797,49.64501242456514,No internet service,1214,21.54774582889599
StreamingMovies,3,No,2217,39.350372736954206,No internet service,1214,21.54774582889599
StreamingTV,3,No,2226,39.51011714589989,No internet service,1214,21.54774582889599
TechSupport,3,No,2771,49.183528576499825,No internet service,1214,21.54774582889599
Dependents,2,No,3955,70.19879304224352,Yes,1679,29.801206957756477
PaperlessBilling,2,Yes,3331,59.123180688675895,No,2303,40.876819311324105
Partner,2,No,2905,51.561945331913385,Yes,2729,48.438054668086615
PhoneService,2,Yes,5075,90.07809726659566,No,559,9.92190273340433
SeniorCitizen,2,0,4714,83.67057152999645,1,920,16.32942847000355
gender,2,Male,2833,50.28399006034788,Female,2801,49.71600993965211
