feature,level,count,training_percentage,churn_count,churn_percentage
Contract,Month-to-month,3102,55.05857294994675,1326,42.74661508704062
Contract,One year,1173,20.820021299254527,130,11.082693947144074
Contract,Two year,1359,24.121405750798722,39,2.869757174392936
InternetService,Fiber optic,2483,44.07170749023784,1045,42.08618606524366
InternetService,DSL,1937,34.38054668086617,362,18.68869385647909
InternetService,No,1214,21.547745828895987,88,7.248764415156508
PaymentMethod,Electronic check,1891,33.56407525736599,865,45.742993125330514
PaperlessBilling,Yes,3331,59.123180688675895,1126,33.80366256379465
PaperlessBilling,No,2303,40.876819311324105,369,16.022579244463742
SeniorCitizen,1,920,16.32942847000355,378,41.08695652173913
SeniorCitizen,0,4714,83.67057152999645,1117,23.695375477301656
