model,family,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
XGBoost trees=100 lr=0.1 depth=2 child=5 sub=0.8 col=1.0,XGBoost,1.0,0.1,2,5,100,1.0,0.8,0.8075993576054253,0.011857198405392205,0.8161165644135544,0.002414073495358112,0.721850703024143,0.017442639540731313,0.732080114442349,0.004987501272125885,0.671351384076253,0.029130529239643935,0.6921771700917778,0.005617956328758734,0.5391304347826088,0.03231537746938105,0.553010033444816,0.011544518792035597,0.5976474376692293,0.02771051015144401,0.614739978063812,0.00746993396722548,0.8503227876341803,0.011678182572067911,0.8645101328146069,0.0027323923493748556,0.6723922384477303,0.018523090720401373,0.6999478674040264,0.005358011277064471,0.08852124214172363,0.04472670555114746
XGBoost trees=100 lr=0.1 depth=2 child=1 sub=0.8 col=1.0,XGBoost,1.0,0.1,2,1,100,1.0,0.8,0.8074211072953392,0.011008793175402761,0.8162497103490203,0.003366266242483385,0.7215159627887665,0.015847041546597617,0.7327048548294757,0.006456603543302703,0.67102921111616,0.0267235444459849,0.6917886201110439,0.007009425211926065,0.5384615384615384,0.028614380784223976,0.5546822742474916,0.014076652512197283,0.5972059289353033,0.02514418066590477,0.6156008054610153,0.00978886381594366,0.850440155808936,0.011454251721575173,0.8647688156878243,0.002769731337824499,0.6717901897668491,0.01883058286838642,0.7001625740087987,0.005479238904181605,0.10203771591186524,0.05545487403869629
XGBoost trees=100 lr=0.1 depth=2 child=1 sub=0.8 col=0.8,XGBoost,0.8,0.1,2,1,100,1.0,0.8,0.8056460115902103,0.012127073232268831,0.8164715382105998,0.0018942519189463483,0.7181714811834153,0.016307055449862034,0.7326422096328569,0.00478586477135924,0.6684604036215868,0.03048890822294596,0.6928911020036687,0.005273394791474862,0.5317725752508361,0.027981940686758362,0.5540133779264214,0.01211191903828214,0.5920563224319473,0.026238798306529962,0.6156165423022808,0.007015829640562847,0.850226866935059,0.011837390509405207,0.864377752459766,0.0026647791388800073,0.671537865682132,0.019544463984573806,0.6989676926457415,0.004306175906729727,0.0996058464050293,0.05343365669250488
XGBoost trees=100 lr=0.1 depth=2 child=5 sub=0.8 col=0.8,XGBoost,0.8,0.1,2,5,100,1.0,0.8,0.8058241042961318,0.012494804346408482,0.8162052660270753,0.0015437098638001617,0.7187196045576256,0.01705193534034411,0.7318201066431602,0.0035940910851749407,0.6682890011070018,0.03071100578534774,0.693019988773109,0.006019221824149441,0.5331103678929765,0.028894462965157408,0.5520066889632107,0.00988462655928537,0.5928679072610116,0.027490885873062275,0.6144395628078595,0.005193499395539358,0.8502379960610338,0.01182430799620692,0.864105764522097,0.0025618655953353457,0.671254604579052,0.02019040576841531,0.6985807181057153,0.004531247517149977,0.0964158058166504,0.04856710433959961
XGBoost trees=100 lr=0.1 depth=3 child=5 sub=0.8 col=1.0,XGBoost,1.0,0.1,3,5,100,1.0,0.8,0.8061780832496718,0.010633639077799292,0.8245475193965259,0.003064984345633298,0.7191748256650208,0.016066104598980502,0.7433195862670079,0.00529924918540844,0.6691880316532739,0.02599086031615422,0.7113460993105839,0.007154156922810028,0.5337792642140469,0.030841851193039452,0.5702341137123745,0.011155237511811345,0.5934649963865561,0.025305946794521052,0.6329600018242757,0.007955452677381875,0.849371653239918,0.01169300138034278,0.8795365566217217,0.0019354535425897077,0.6707990182164358,0.023060452127011712,0.7295176679393993,0.0041013808567677895,0.11314363479614258,0.053717041015625
XGBoost trees=100 lr=0.1 depth=3 child=1 sub=0.8 col=1.0,XGBoost,1.0,0.1,3,1,100,1.0,0.8,0.8086644465493358,0.01026397329518714,0.8256567866725704,0.0018151827951660838,0.7227893079938188,0.01304836535666153,0.7455700798471273,0.0044103072610895576,0.6748085980186478,0.028516942925369125,0.7126147244442371,0.0051699054383206695,0.539799331103679,0.022742474916387947,0.5749163879598662,0.011011423165989544,0.5995102886799484,0.02128827122231695,0.6363190939438963,0.006234405607879725,0.8486245199349479,0.01249433024335594,0.8813732733482453,0.00196095243980187,0.6706583007045873,0.021902595404380217,0.731686137357584,0.003945857823812225,0.11023797988891601,0.059122991561889646
XGBoost trees=100 lr=0.03 depth=4 child=5 sub=0.8 col=0.8,XGBoost,0.8,0.03,4,5,100,1.0,0.8,0.8038712310934104,0.009503539333446843,0.8189121368731553,0.003065183837387068,0.7067082176829298,0.011593912374653043,0.7280540413692588,0.006470076174346452,0.6771092711409916,0.027175985702312208,0.7114075373452371,0.0072796341968374935,0.49966555183946487,0.01826956559698683,0.534448160535117,0.014895151131533994,0.5748462078380658,0.019543423515143883,0.6102271268357499,0.009994656302081203,0.8502064309761408,0.010577865735085255,0.8733701280301519,0.0022396087336704574,0.67060526045548,0.01945041564457511,0.7145187077633796,0.005392788489854712,0.14166922569274903,0.05181703567504883
XGBoost trees=200 lr=0.03 depth=3 child=1 sub=0.8 col=1.0,XGBoost,1.0,0.03,3,1,200,1.0,0.8,0.806534268661515,0.010410587933284726,0.8196221238420606,0.002971851031632105,0.7177071158867594,0.013892530867641256,0.7354274383912907,0.005155816031130478,0.672663344669264,0.026944542468755717,0.7022910946057432,0.00767583659557906,0.5284280936454849,0.023837497901278194,0.556020066889632,0.01134168893499208,0.591675624372124,0.02272424966767055,0.6205767620012165,0.007860078891511453,0.8499140244980655,0.011137522203106319,0.8715349803553056,0.002022735482668994,0.670588172682798,0.020668902169531763,0.7127226296713361,0.003752441918273836,0.15417108535766602,0.05048556327819824
XGBoost trees=100 lr=0.03 depth=4 child=1 sub=0.8 col=0.8,XGBoost,0.8,0.03,4,1,100,1.0,0.8,0.8035163065148835,0.009429114058499041,0.8189121073420444,0.0030702060095833426,0.7068935841042986,0.011243452776588538,0.7282676983447965,0.007463561151876974,0.6751237144133365,0.026082280700036587,0.7110418725762064,0.0064072202334846855,0.5010033444816053,0.01630241820328285,0.5351170568561873,0.01770523201681126,0.5750907368765035,0.019045667552591197,0.6104736425849429,0.011337551481805125,0.849758502948227,0.010675195212471093,0.8748857310154541,0.002161902501957493,0.670481319482987,0.019518926257209347,0.7156896521169037,0.005332856529119134,0.17401185035705566,0.06363964080810547
XGBoost trees=200 lr=0.1 depth=2 child=5 sub=0.8 col=1.0,XGBoost,1.0,0.1,2,5,200,1.0,0.8,0.8058239466919673,0.012522109655471125,0.8199327025356791,0.003445282570038887,0.7204288602296067,0.016788670071396297,0.7368138861756152,0.006919124144975046,0.6661535488365589,0.030738316213917156,0.7013830084585625,0.006194204423860443,0.5384615384615385,0.028220766701978556,0.5596989966555184,0.015037155281850402,0.5953041108494908,0.026879507428481532,0.622483786136727,0.0103589328174332,0.8482456910511257,0.011845655027325045,0.8735538754589344,0.0025573439180040266,0.6704029633004502,0.01949049706753901,0.7170608612902711,0.004812660851997988,0.16305832862854003,0.056883811950683594
XGBoost trees=200 lr=0.03 depth=3 child=5 sub=0.8 col=1.0,XGBoost,1.0,0.03,3,5,200,1.0,0.8,0.8067112581382851,0.009929691216266346,0.818379661412032,0.003222026391148581,0.7169731879789185,0.013286644568845244,0.7333533314511576,0.006424469915743659,0.6743529033168678,0.025514954693034917,0.7000755129655987,0.007177185406936533,0.525752508361204,0.022525027746465184,0.5521739130434782,0.014429800672110093,0.5906804038370901,0.021708390873474592,0.6172790753955608,0.009711324856371053,0.8498700696765538,0.011047952339881763,0.8708051055533004,0.0021734258057705485,0.6702029864513795,0.019543920929929747,0.7113370226575879,0.004048982735600932,0.15433502197265625,0.05779261589050293
XGBoost trees=200 lr=0.03 depth=3 child=5 sub=0.8 col=0.8,XGBoost,0.8,0.03,3,5,200,1.0,0.8,0.8075992000012608,0.010832358604973955,0.8186014991173151,0.002694753563472489,0.7186457208564353,0.014194276067934464,0.7334508605931761,0.006275168911633624,0.675803119775861,0.028123972781995688,0.7009510039466594,0.006658616182430777,0.5290969899665552,0.02340181362479718,0.5520066889632107,0.015183357140891201,0.5933424369756978,0.023262671368721323,0.6174805434763948,0.009288274631183483,0.8500834918889449,0.011664016204844965,0.8703473400198517,0.00255373414521281,0.6701565329228709,0.01999922362124108,0.7115001397067908,0.005231205214190137,0.1768662929534912,0.051268911361694335
XGBoost trees=100 lr=0.03 depth=4 child=5 sub=1.0 col=1.0,XGBoost,1.0,0.03,4,5,100,1.0,1.0,0.803160436311369,0.008211657460206927,0.8190008975488983,0.003544085819092823,0.7051561656774317,0.01245604741145782,0.728167910479589,0.007039650143658971,0.6757641128770342,0.02003533325079711,0.7116093289127425,0.008078961340182345,0.49632107023411365,0.02293836548425717,0.5346153846153847,0.015611959888941554,0.5721386719114958,0.020549859095018976,0.6104118856936438,0.010900331581214173,0.8498034751474884,0.009925716423564986,0.8738351735464679,0.002388383793111902,0.6701324906637951,0.02037541684539195,0.7156111001333684,0.005557069312276597,0.13054094314575196,0.05398712158203125
XGBoost trees=200 lr=0.03 depth=3 child=1 sub=1.0 col=0.8,XGBoost,0.8,0.03,3,1,200,1.0,1.0,0.8051134671182553,0.007134917306053797,0.8182908318303639,0.003141499193441938,0.7131085997168223,0.010440345391244799,0.730729088628482,0.006718924115557233,0.6731308986225304,0.020092935744891946,0.7038886932895744,0.005831909586833895,0.5170568561872909,0.021003770525896415,0.5441471571906354,0.015053882856089485,0.5845862340191834,0.01695077988445764,0.6136825209752088,0.010265661233087439,0.8494759459371227,0.011599687844085537,0.8701939559868628,0.002631356931312688,0.6700412104377962,0.02323214648323451,0.7094323775352452,0.005186717480901438,0.2125166416168213,0.06590662002563477
XGBoost trees=200 lr=0.03 depth=3 child=1 sub=0.8 col=0.8,XGBoost,0.8,0.03,3,1,200,1.0,0.8,0.8084866690517429,0.009333339307471647,0.818956482758064,0.0026224651004982022,0.7190359103770596,0.011619527873442703,0.7344402514966215,0.005985966683919698,0.6789940899047807,0.025044586897542426,0.7009545460771198,0.0068348102598551185,0.5284280936454849,0.01807258339278433,0.5543478260869564,0.014559062782393916,0.5942147015279258,0.01930206201359499,0.6189520474603496,0.008806119769477682,0.8501706689027684,0.011717241425284903,0.871079751585148,0.00226916033728945,0.6700200738593026,0.021152796556798355,0.7118115305741008,0.00480727776376456,0.22815256118774413,0.0628096580505371
XGBoost trees=100 lr=0.1 depth=3 child=1 sub=1.0 col=0.8,XGBoost,0.8,0.1,3,1,100,1.0,1.0,0.8058230010669801,0.011124386232596224,0.822506545570737,0.004166857565575635,0.7155144763524975,0.015613472167760201,0.738779215953129,0.006623290464341745,0.6725372346015155,0.02708925863712332,0.7097781269269786,0.010855042626080565,0.5230769230769231,0.027137742842944186,0.5603678929765886,0.013753100464850905,0.5882519507987429,0.025261339535907926,0.6261755130144893,0.010204614802927909,0.8483816269803383,0.010955058080330463,0.8785400910974476,0.0023246125394647747,0.6699865578330323,0.02189554248715285,0.725997106288131,0.0034002576904974477,0.09704117774963379,0.04968304634094238
